city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,java,android,android sdk,kotlin,git,ооп,java se,design patterns,rest,sqlite,other
Москва,Медицинские информационные решения,2019-12-02T12:50:52+0300," Мы разрабатываем мобильные приложения (и не только) в сфере здравоохранения, наш хедлайнер – приложение &quot;Справочник Врача&quot;, в котором зарегистрировано более 500 тысяч медицинских специалистов.   Мы активно растем и ищем Android-разработчика в нашу команду.    Обязанности:      разработка и внедрение новых фитч в наши проекты;   тестирование, оптимизация и поддержка существующего кода;   проектирование архитектуры, выбор стека технологий, оценка времени на реализацию и соблюдение сроков;   постоянное взаимодействие с командой.      Требования:      опыт разработки под Android (4.1 и выше)  не менее 2-х лет ;   уверенные знания Java и Android SDK;   знание ООП, паттернов проектирования, DRY, SOLID;   понимание принципов клиент-серверной архитектуры HTTP/RESTful APIs;   опыт работы с Moxy, Dagger2, Retrofit 2, EventBus, Glide, Gson, Firebase, Git;   опыт командной разработки;      Будет плюсом:      знание SQL, в частности SQLite;   опыт работы с RxJava2, ConstraintLayout;   опыт работы в крупных проектах и их длительная поддержка;   опыт написания/использования Unit &amp; UI тестов;   знание Kotlin;   наличие проектов в GooglePlay, репозиторий с кодом на GitHub/Bitbucket.      Мы предлагаем:      оформление по ТК, с отпусками, больничными;   «белую» заработную плату, выплачиваемую в срок, два раза в месяц;   офис в 7 минутах от метро Алексеевская;   молодой и дружный коллектив;   рабочее место, оборудованное по вашим пожеланиям;   возможность роста и развития внутри компании.           ",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Android|Android SDK|REST|SQLite|ООП|Git,3.0,160000.0,1.0,120000.0,android разработчик,Опыт разработки под Android (4.1 и выше) не менее 2-х лет. Уверенные знания Java и Android SDK. ,"Разработка и внедрение новых фитч в наши проекты. Тестирование, оптимизация и поддержка существующего кода. Проектирование архитектуры, выбор стека технологий, оценка...",0.36666666666666664,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1
Москва,Смарт Ритейл,2019-12-12T09:45:46+0300," Компания Intelligence Retail ищет в команду Android Kotlin разработчика — опытного, уверенного и готового решать эффективно, качественно сложные задачи. Участие в крупных проектах в кругу профессионалов по различным направлениям. Большие возможности для профессионального роста. Работа в кругу профессиональной команды, открытость к новым идеям и подходам.    Задачи      разработка клиентского приложения с поддержкой библиотеки компьютерного зрения   поддержка существующего кода   участие в проектировании архитектуры решения   участие в тестировании приложения      Требования      отличное знание Kotlin   опыт SQL (Sqlite), Realm   умение разбираться в чужом коде   понимание того, что язык программирования не так важен и можно писать код на любом, требуемом языке   владение инструментами: IDE Android Studio, CVS (git), трекер задач (youtrack | jira | redmine)   технический английский      Необходимые навыки      готовность и способность к письменной коммуникации   работа в команде   приветствуется опыт работы с изображениями (opencv, др.)   знание C/С++ (будет являться преимуществом)      Условия:      удаленная работа   полное соблюдение трудового законодательства РФ   полная занятость   работа с увлечёнными профессионалами    Компания Intelligence Retail занимается разработкой автоматизированных систем аудита (AI) на основе технологий компьютерного зрения в сегменте крупного розничного бизнеса (Retail).",Полная занятость,Удаленная работа,От 3 до 6 лет,|Java|Android|Android SDK|SQLite|Git|OpenCV,6.0,160000.0,3.0,130000.0,android kotlin разработчик,"Отличное знание Kotlin. Опыт SQL (Sqlite), Realm. Умение разбираться в чужом коде. Понимание того, что язык программирования не так важен...",Разработка клиентского приложения с поддержкой библиотеки компьютерного зрения. Поддержка существующего кода. Участие в проектировании архитектуры решения. Участие в тестировании приложения.,0.03333333333333333,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
Санкт-Петербург,Центр финансовых технологий,2019-11-28T08:45:46+0300,"  Мы разрабатываем мобильные приложения в области финансов. При помощи них пользователи могут бесплатно пользоваться картами Visa и MasterCard, оплачивать услуги, получать кредиты, совершать денежные переводы и многое другое.     Наши крупные продукты: «Денежные переводы - «Золотая Корона», «Обмен валют», «Погашение кредитов», «Транспортная и Социальная Карта», мобильный банк «Кукуруза» и «Карта Билайн».         Задачи:    - разработка новых продуктов и развитие существующих;   - участие в Agile-разработке, Code Review, использование TDD;   - использование новых технологий, архитектурных подходов, совершенствование навыков программирования;   - обмен опытом с командой.        Требования к кандидатам:    - опыт программирования Kotlin /Java;   - уверенное знания Android SDK;   - опыт использования RxJava, Dagger2, Retrofit;   - уверенное знания Git, Gradle;   - понимание ООП, принципов SOLID, Clean Architecture, знание основных паттернов проектирования.        Условия работы:      Официальное трудоустройство, полный социальный пакет   Компенсация (оклад + премии). Размер будет обсуждаться индивидуально, зависит от опыта.   ДМС   Дружный коллектив, открытые и честные взаимоотношения в командах, обмен мнениями и опытом.   Современный офис, комфортные рабочие места   Обучение за счет компании   ",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Kotlin|Android SDK|Git|ООП|SOLID|RxJava|Dagger2|Retrofit,3.0,66300.0,1.0,51033.33333333334,android разработчик,"использование новых технологий, архитектурных подходов, совершенствование навыков программирования. - обмен опытом с командой. Требования к кандидатам: - опыт программирования Kotlin /Java. - ","Мы разрабатываем мобильные приложения в области финансов. При помощи них пользователи могут бесплатно пользоваться картами Visa и MasterCard, оплачивать услуги...",0.5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
Санкт-Петербург,РЦ ПЛИНОР,2019-12-03T09:48:53+0300,"  Обязанности:      Разработка приложений, участие в масштабных разработках уровня СНГ   Работа в команде разработчиков   Выполнение заданий в оговоренные сроки     Требования:     Опыт разработки под OS Android от 2-х лет.   Знание Android SDK, Java, Kotlin.   Знание принципов ООП и шаблонов проектирования.   Знание современных подходов к построению архитектуры Android-приложений.   Опыт работы с SQL, SQLLite, JSON, XML.   Опыт разработки клиент-серверных приложений, REST API.   Опыт работы с датчиками, Bluetooth, Wi-Fi.   Внимание к деталям и аккуратность исполнения интерфейса.     Условия:     Рабочий день 9:00-18:00, пятидневка.   Конкурентоспособная заработная плата в зависимости от квалификации (обсуждается персонально с каждым кандидатом) + квартальные, годовые премии. Премии по завершенным проектам.   Расширенный соцпакет (после года сотрудничества предоставляется расширенное медобслуживание, включающее стоматологию).   Комфортные условия работы.   Возможны местные командировки (головной офис компании г. Пушкин)   ",Полная занятость,Полный день,От 1 года до 3 лет,|Android|Java|SQLite|Atlassian Jira|Android SDK|ООП|API|REST,3.0,80000.0,1.0,50000.0,android разработчик,"Опыт разработки под OS Android от 2-х лет. Знание Android SDK, Java, Kotlin. Знание принципов ООП и шаблонов проектирования. ","Разработка приложений, участие в масштабных разработках уровня СНГ. Работа в команде разработчиков. Выполнение заданий в оговоренные сроки.",0.3333333333333333,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
Санкт-Петербург,Северо-Западная Компания,2019-11-28T13:58:19+0300," Обязанности:     Участие в проекте по разработке устройства на базе ОС Android. Разработка специализированного лаунчера в режиме киоска         Требования:     1. Знание архитектуры Android 8+ (на системном уровне) и API Level &gt;=26   2. Опыт написания приложений, обеспечивающих режим киоска - блокировка шторок, &quot;Drawing over other apps&quot;   3. Опыт разработки клиент-серверных приложений   Ключевые навыки: Android SDK   Java   Java SE   Eclipse   Android         Условия: Работа в офисе/удаленно. Данный проект - оплата еженедельно, количество недель согласуется с кандидатом при собеседовании. Штатная вакансия - по взаимному согласию.     ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Java|Android SDK|Android|Eclipse|Java SE,3.0,60000.0,1.0,40000.0,android software разработчик,"1. Знание архитектуры Android 8+ (на системном уровне) и API Level &gt;=26. 2. Опыт написания приложений, обеспечивающих режим киоска...",Участие в проекте по разработке устройства на базе ОС Android. Разработка специализированного лаунчера в режиме киоска.,0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
Санкт-Петербург,СМТР,2019-11-15T12:17:27+0300,"  Сметтер – программа для автоматизации строительного бизнеса.    Мы ищем разработчика для проекта smetter.ru, который трансформирует строительную отрасль. Smetter.ru является лидирующей в России и СНГ облачной платформой для автоматизации и управления строительным бизнесом. Наш сервис развивается быстрыми темпами, и мы приглашаем в команду коллег, которые будут разрабатывать инновационные для рынка решения.   Нам нужен Android-разработчик, который участвовал в успешных проектах, и который хочет нового челленджа на профессиональной стезе. Если вы ищете компанию, где вы сможете реализовать весь ваш потенциал и получить признание – это к нам. Мы выпускаем инновационный для отрасли сервис, разработка которого потребует от вас нестандартных решений, смелого полета мысли и знаний в смежных областях. Границы вашего профессионального роста будут зависеть только от вас.    Обязанности:        разработка новых функций мобильного приложения Сметтер Android;       документирование своих действий (внятные комментарии к коммитам, док-блоки в коде);       поддержка, рефакторинг и доработка существующего кода        Требования:        Профильное высшее образование       опыт коммерческой разработки приложений не менее двух лет;       уверенное знание Java и Android SDK;       знание языка Kotlin;       Фреймворк Dagger2       Понимание паттерна MVP       Также приветствуются знания Moxy и Conductor       умение работать с чужим кодом;       опыт размещения приложений в Google Play Market;       опыт работы в команде        Почему вам надо идти к нам:      Инновационный проект, который позволит реализовать ваш потенциал   Вменяемые руководители, которые быстро принимают решения   Работа в топ-команде разработчиков web и mobile   Белая з/п с перспективой дальнейшего роста   Соцпакет согласно ТК РФ   Приятный график   Офис на Петроградке, плюшки и возможность заказа еды в офис   ",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Веб-программирование|Android SDK|Android|Kotlin,3.0,66300.0,1.0,85000.0,разработчик android,Профильное высшее образование. Опыт коммерческой разработки приложений не менее двух лет. Уверенное знание Java и Android SDK. Знание языка Kotlin. ,"Разработка новых функций мобильного приложения Сметтер Android. Документирование своих действий (внятные комментарии к коммитам, док-блоки в коде). ",0.9333333333333333,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
Санкт-Петербург,"EPAM Systems, Inc.",2019-12-02T14:44:32+0300," Мы производим программное обеспечение – от начала и до конца. С 1993 года EPAM помогает   клиентам придумывать, разрабатывать, проектировать и внедрять программные продукты, которые меняют мир.   Чтобы понимать, в чем рынок будет нуждаться завтра, мы следим за трендами и внедряем их в свою работу, постоянно учимся и накапливаем опыт. Учиться в ЕРАМ легко: внутри компании есть тренинги и курсы, унифицированы требования к разным позициям и уровням и есть возможность получать новые профессии прямо на рабочем месте.   Вы увлечены своим делом, любопытны и настойчивы. Вы цените качество кода, Вам нравится создавать элегантные решения для сложных задач. Если это описание похоже на Вас, то мы ждем Вас в нашей команде в качестве Android разработчика!   А если поконкретней?      Мы берем людей в компанию, а не под проект;   В основном наши заказчики – зарубежные компании (Штаты и Европа). Здорово, если Вашего уровня английского языка будет достаточно для общения и участия в митингах (Intermediate и выше);   - Наши решения улучшают и автоматизируют как повседневную жизнь (b2c), так и работу компаний (b2b);   Мы говорим про абсолютно разные направления:     Media (например, разработка сервиса для кабельного и спутникового телеканала); E-commerce (создание мобильных проектов для мировых fashion-брендов); Banking / finance (разработка мобильного банка); Life-science / medicine (разработка приложения для анализа данных МРТ); Transport (разработка приложения для покупки ж/д билетов).  И это далеко не полный список!   Чего мы ожидаем от Вас?      Мы следим за качеством своих продуктов. Умение поддерживать высокое качество создаваемых продуктов (unit testing, code review) для нас очень важно;   Так же мы используем Agile методологии (Scrum / Kanban). Если Вы работали с ними, это позволит быстрее влиться в наши процессы;   Если у Вас есть опыт менеджмента и управления командой, опыт решения нетривиальных задач и общения с заказчиками, то мы можем говорить и про lead позиции;   Знание Kotlin, разнообразных библиотек и технологий будет большим плюсом и позволит нам обсуждать более сложные и разнообразные задачи и проекты!          Что еще мы предлагаем?      Хорошо отлаженный процесс разработки (EPAM сертифицирован CMMI 4 уровня);   Возможность релокации в другой офис ЕРАМ (25+ стран);   Получение международного опыта (большинство заказчиков – зарубежные компании);   Возможность для профессионального развития (наши образовательные платформы включают 6000+ курсов и тренингов для развития технических и не только скилов (например, «Школа архитекторов», public speaking и другие);   И для самореализации (мы поддерживаем большое количество проф.конференций и развиваем свое community: open days, meetups etc.);   Прозрачный рост внутри компании (четкие матрицы компетенций для каждого грейда и регулярный ассесмент);   Социальный пакет (ДМС, компенсация фитнеса, спортивные команды, курсы английского и т.д.);   Гибкий график работы;   И команду коллег - профессионалов (некоторых Вы могли видеть спикерами на конференциях или читать их блоги на профессиональных ресурсах).   ",Полная занятость,Гибкий график,От 3 до 6 лет,|Android|Java|Kotlin,6.0,66300.0,3.0,51033.33333333334,senior android разработчик,Без требований,E-commerce (создание мобильных проектов для мировых fashion-брендов). Banking / finance (разработка мобильного банка). Life-science / medicine (разработка приложения для...,0.36666666666666664,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Санкт-Петербург,FBS Inc.,2019-12-12T06:58:20+0300,"  FBS – международная продуктовая ФинТех компания.    Мы разрабатываем крутые программные и рекламные продукты для международного брокера.   Результаты работы нашей команды могут оценить более 13 миллионов клиентов в 193 странах.   И сейчас мы ищем талантливого  Android - разработчика  с сильным бэкграундом и тягой к постоянному совершенствованию и развитию.    Подробнее о нас:        Результаты нашей работы активно используются клиентами и бизнесом. Мы постоянно анализируем поведение пользователей, изучаем фидбэк и совершенствуем наши системы, чтобы сделать их более удобными и эффективными   Мы придерживаемся Agile-методологии разработки и серьезно подходим к качеству ПО.   За год работы наши приложения были установлены более 1,5 млн раз на 17 языках.    Средний рейтинг приложений:        Google Play - 4,3       App Store - 4,6        Стек наших технологий:        Kotlin       Coroutines       MVVM Android Data Binding       Android Architecture Components       Dagger 2       Retrofit       Мы используем технологию Flux/Redux, которую самостоятельно адаптировали для наших Android приложений. В результате слияния Flux/Redux и MVVM мы создали свой аналог MVI подхода.    Задачи, которые будут стоять перед вами:        разработка новых продуктов и развитие существующих;       декомпозиция задач, оценка времени и планирование спринта;       проведение Code Review;       использование новых технологий, архитектурных подходов, совершенствование навыков программирования;       обмен опытом с командой.        Мы ищем сотрудника, который:        Имеет опыт разработки под Android не менее 2-х лет;       Понимает и активно использует преимущества языка Kotlin;       Обладает опытом параллельного и многопоточного программирования;       Умеет разрабатывать адаптивные пользовательские интерфейсы с учётом различий устройств, разрешений экранов и версий ОС;       Понимает принципы работы REST API и клиент-серверных приложений;       Работал в коммерческих проектах с использованием системы контроля версий Git и багтрекера JIRA;       Знает английский язык на уровне чтения технической документации.       Стремится к оптимизации, соблюдает сроки, умеет работать в команде, идти на компромисс;        Будет плюсом:        Опыт работы с Android Architecture Components;       Понимание MVVM архитектуры;       Использование Kotlin Coroutines в предыдущих проектах;       желание сделать продукт лучше, чем требуется.        Мы готовы предложить:      Работу над новыми проектами с самыми актуальными технологиями и без легаси кода;   Работу в международной компании (в нашем офисе говорят на 11 языках);   Оформление по ТК РФ с первого дня работы;   Компенсацию медицинских расходов, обучающих курсов, занятий спортом;   Оплачиваемое обучение, книги, курсы, поездки на конференции;   Современный и уютный офис в шаговой доступности от метро с кофемашиной, кикером, массажным креслом и многим другим.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,66300.0,1.0,51033.33333333334,android разработчик,"Google Play - 4,3. App Store - 4,6. Имеет опыт разработки под Android не менее 2-х лет. ","Разработка новых продуктов и развитие существующих. Декомпозиция задач, оценка времени и планирование спринта. Проведение Code Review. Использование новых технологий, архитектурных...",0.03333333333333333,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,БиАйЭй-Технолоджиз,2019-11-19T21:15:38+0300," В связи с расширением портфеля задач, мы открываем вакансию Senior Android developer. Мы перешли на второй этап развития нашего Cloud-сервис для управления перевозками и эксплуатации различных типов транспорта. В основе нашего решения микро-сервисная архитектура, используем актуальный стек технологий для достижения результата.   Мы ищем профессионала, который предан своему делу, пишет высококачественный код и следует современным стандартам и best practices. Основной задачей будет разработка и поддержка масштабируемой платформы, которая будет приносить пользу нашим клиентам. Каждый новый сотрудник становится частью команды, которая отвечает за весь жизненный цикл ПО, от начальной спецификации до проектирования, разработки, тестирования, развёртывания и мониторинга.    Что предстоит делать:      Разработка мобильного приложения под Android на Kotlin   Разработка новых фич и развитие старых   Участие в выстраивании архитектуры приложения      Что мы ждем:    Основное требование - умение проектировать, реализовывать модульный работающий код, который легко читать и понимать, можно кастомизировать и повторно использовать.    Желательно:      Разработка кода на Kotlin от 1 года   Понимание VIPER, Clean Architecture, презентационных паттернов и паттернов проектирования   Понимание Conductor   Понимание работы с room, sqlite, realm и их отличия   Умение писать осмысленные тесты   Отличное понимание RxJava или kotlin coroutines   Client-server, REST, OAuth2.0, retrofit2   Базовые понятия - git, оценка сложности, ревью   Открытость новым знаниям   Общительность, самостоятельность, умение объяснять      Мы предлагаем:      Бесценный опыт работы над интересными проектами в сильной команде экспертов.   Достойный уровень заработной платы, официальное оформление, социальные гарантии.   Комфортные условия: гибкий график работы, свободный дресс-код, кофе-поинты на каждом этаже с чаем/какао/кофе, игровая зона для активных перерывов, спортзал в офисе.   Развитие и обучение: оплата внешних тренингов, семинаров и конференций.   Бизнес центр класса &quot;А&quot; (Московский проспект, м. Фрунзенская), полная инфраструктурная обеспеченность: паркинг, несколько точек общественного питания, кафетерий, вендинговые аппараты.   ",Полная занятость,Полный день,Более 6 лет,|Android|Kotlin|RxJava,,66300.0,6.0,51033.33333333334,senior android разработчик,"Разработка кода на Kotlin от 1 года. Понимание VIPER, Clean Architecture, презентационных паттернов и паттернов проектирования. Понимание Conductor. ",Разработка мобильного приложения под Android на Kotlin. Разработка новых фич и развитие старых. Участие в выстраивании архитектуры приложения.,0.8,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
Санкт-Петербург,JAM.ME,2019-12-11T14:16:14+0300,"Ищем разработчика Android приложений в проект JAM.ME Хотите окунуться в атмосферу стартапа, где вы имеете возможность влиять на принимаемые решения, а разработка не зажата сотнями регламентов? Хотите создавать что-то новое, вместо того, чтобы бесконечно править баги и поддерживать старый код? Добро пожаловать к нам в команду!       Требования:  - хорошие знания языков Kotlin и Java; - знание последних трендов в разработке Android приложений; - умение писать чистый, понятный с первого раза код, соответствующий Code Style; - опыт работы с REST API.   Условия:  - Занятость на проекте - полный день. - Работа на удаленной основе ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Android|Java|Kotlin,3.0,1500.0,1.0,1200.0,разработчик android приложений,"хорошие знания языков Kotlin и Java. - знание последних трендов в разработке Android приложений. - умение писать чистый, понятный с первого раза...",Без обязанностей,0.06666666666666667,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Санкт-Петербург,ВКонтакте,2019-12-11T17:45:47+0300," ВКонтакте — не только крупнейшая социальная сеть России и стран СНГ, но и огромная платформа для предпринимательства. Команда рекламы и бизнес-проектов расширяется и открывает позицию Android-разработчика, который будет создавать решения для малого и среднего бизнеса.    Вам предстоит:      работать над улучшениями Android-приложения ВКонтакте;   тестировать, оптимизировать и поддерживать продукт;   взаимодействовать с командой API и дизайнерами.      Нам важно, чтобы кандидат:      обладал опытом создания приложений для Android 4.4+ от двух лет;   отлично разбирался в Java и Android SDK;   ранее принимал участие в разработке сложных, но быстрых интерфейсов (Custom Views и Layouts, а также анимации);   имел портфолио с выполненными проектами.      Опыт работы с Kotlin и RxJava 2 будет плюсом.     Мы ценим:      способность быстро и качественно решать задачи;   ориентированность на результат;   самостоятельность, ответственность, инициативность и внимание к деталям в коде и интерфейсах;   гибкий и системный подход в работе над сложными проектами.      Мы предлагаем:      возможность влиять на продукт, которым ежемесячно пользуются больше 97 миллионов человек;   простор для профессионального роста;   совместную работу с лучшими специалистами на рынке;   офис в историческом центре Санкт-Петербурга;   гибкий график и минимум бюрократии;   вознаграждение, зависящее только от Ваших знаний и трудоспособности;   полный социальный пакет   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,66300.0,1.0,51033.33333333334,android разработчик,Обладал опытом создания приложений для Android 4.4+ от двух лет. Отлично разбирался в Java и Android SDK. ,"Работать над улучшениями Android-приложения ВКонтакте. Тестировать, оптимизировать и поддерживать продукт. Взаимодействовать с командой API и дизайнерами.",0.06666666666666667,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,KUPIBILET.RU,2019-11-20T10:40:12+0300,"      IT-компания &quot;Купибилет&quot; (KUPIBILET.RU) – топовое онлайн тревел-агентство.     Мы молоды, амбициозны, быстро растем, и у нас расширяется портфель проектов!     Хотим пополнить наш коллектив профессионалов талантливыми Android разработчиками, которые будут развиваться вместе с компанией, делая её лучше!     Задачи:      Поддержка и разработка продуктовых фич в мобильном приложении лидера продаж авиабилетов на российском рынке   Поддержка и модернизация архитектуры Android-приложения      Требования:      Опыт разработки под OS Android от 2-х лет   Наличие опубликованных проектов в Google Play   Знание Android SDK(&gt;=16), Java, Kotlin и Gradle   Знание принципов ООП и шаблонов проектирования   Знание современных подходов к построению архитектуры Android-приложений   Опыт многопоточной разработки   Опыт разработки клиент-серверных приложений   Владение английским языком на уровне, достаточном для чтения технической документации   Внимание к деталям и аккуратность исполнения интерфейса   Коммуникабельность, умение задавать вопросы и принимать участие в обсуждении новых фич      Что мы предлагаем:      Находимся в Санкт-Петербурге, в 10 минутах от метро   Светлый и просторный офис бизнес-центре А класса с видом на Неву   Полностью «белая» заработная плата   Корпоративный полис ДМС   Топовое железо для рабочего места   Рабочие столы с подъемными механизмами   Отличная команда профессионалов, готовая всегда прийти на помощь   Куча вкусностей. Например, зерновой кофе, фрукты, печеньки, сладости, холодильник с колой и т.д. (нас тут реально кормят)   Оптимистичная атмосфера, совместные посиделки, развлекухи, и «пятничная» пицца   ",Полная занятость,Полный день,От 3 до 6 лет,|Android|Android SDK|Java|Kotlin|Gradle,6.0,66300.0,3.0,51033.33333333334,android разработчик,"Опыт разработки под OS Android от 2-х лет. Наличие опубликованных проектов в Google Play. Знание Android SDK(&gt;=16), Java...",Поддержка и разработка продуктовых фич в мобильном приложении лидера продаж авиабилетов на российском рынке. Поддержка и модернизация архитектуры Android-приложения.,0.7666666666666667,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
Санкт-Петербург,Distillery,2019-11-24T14:17:09+0300,"  Now we are looking for a talented Android developer who will join us to perform the following tasks:        Creating a mobile application for analyzing the creditworthiness of users. The product is in demand on the international market, and our client is an example of a successful American IT startup;       Develop new functionality of the application and support the existing one;       Conducting code review, writing unit tests.        From the future colleague we are waiting:      Android:    standard libraries, Notifications, Connectivity, Location;   tools (9patch, TraceView, HierarchyView, adb shell);   experience in optimizing the performance of adapters (Adapters) and Animations;   experience with Android Jetpack (Room, LiveData, ViewModel, WorkManager, Paging);   knowledge of Google Android guidelines.       Kotlin, Kotlin coroutines;   Java, Java garbage collector;   Understanding the principles of OOP, data structures and design patterns;   Experience in developing multithreaded applications;   Experience in developing client-server applications;   Experience with profiling tools and code optimization;   Experience with architecture patterns (MVVM as a plus)   Technical conversational English.      We offer:      A friendly team of first-class professionals you’ll find easy to work and communicate with;   Transparency in processes and liberal atmosphere across the company;   Modern technology stack on all projects;   Professional and personal growth as well as the ability to change your area of expertise;   Attendance sponsorship of IT events, professional conferences as well as financial cover of online and offline courses;   Internal hackathons and meetups where each employee can act as a speaker;   Salary corresponding to your work experience and skills. We are open for payment negotiation;   Flexible working schedule and the ability to work remotely;   All the necessary equipment;   Compensation of sport and medical expenses;   English language courses at the office.       See you at   the Distillery  !   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,66300.0,3.0,51033.33333333334,senior android разработчик,"Android: Standard libraries, Notifications, Connectivity, Location. Tools (9patch, TraceView, HierarchyView, adb shell). Experience in optimizing the performance of adapters...","Creating a mobile application for analyzing the creditworthiness of users. The product is in demand on the international market, and...",0.6333333333333333,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
