city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,пользователь пк,работа в команде,грамотная речь,деловое общение,стрессоустойчивость,mathcad,грамотность,чтение чертежей,ответственность,креативность,other
Москва,KEDDO,2019-12-11T10:25:14+0300,"  Обязанности:      Заказ GTIN, кодов маркировки.   Оперативное занесение данных в 1С, отслеживание изменений.   Взаимодействие с другими отделами компании.   Консультирование оптовых клиентов по вопросу маркировки.     Требования:     Опыт работы в 1С.   Уверенный пользователь Excel.   Высокая внимательность к данным, цифрам и информации.   Легкая обучаемость, желание погружаться в новый проект.     Условия:     График работы: 5/2 с 10.00 до 18.00.   Работа в международной компании.   Стабильная зарплата.   Возможности для профессионального и карьерного роста.   Корпоративные мероприятия в дружном коллективе.   И множество других бонусов: скидки на продукцию компании, подарки к различным праздникам и событиям.   ",Полная занятость,Полный день,Нет опыта,,,60000.0,,50000.0,оператор 1с,"Опыт работы в 1С. Уверенный пользователь Excel. Высокая внимательность к данным, цифрам и информации. Легкая обучаемость, желание погружаться в...","Заказ GTIN, кодов маркировки. Оперативное занесение данных в 1С, отслеживание изменений. Взаимодействие с другими отделами компании. Консультирование оптовых клиентов...",0.06666666666666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Сбербанк,2019-12-09T19:34:02+0300,"    Наша цель  –    создать доступный, современный и функциональный сервис обслуживания корпоративных клиентов в голосовом и текстовом канале.             Наш продукт     – модуль в рабочем месте оператора для решений проблем клиента при звонке и в чате. Продукт-интеграционный. По сути, это единое окно к банковским данным и операциям для операторов контактного центра. Уже реализованы интеграции с десятком банковских систем через корпоративную шину данных. Планируется развитие модуля умных технологий: гибких операторских скриптов и искусственного интеллекта.             Наша команда -     9 человек. Состав ролей – аналитики, разрабочики, тестировщики и владелец продукта. Команда стабильная, с разнообразным опытом (банковским и не банковским), с понимаем современных трендов в цифровых сервисах и инструментах.             Обязанности:               Разработка продуктового видения;              Управление бэклогом продукта, приоритезация задач;              Синхронизация продукта с другими продуктами банка;              Презентация продукта в ходе Демо-сессий;              Участие в тестировании продукта;              Управление ожиданиями стейкхолдеров.              Работа с командами разработки продукта: презентация концепций, написание бизнес-требований, контроль реализации на этапах разработки.                  Требования:               Высшее профильное образование;              Опыт управления разработкой, внедрением и сопровождением комплексных проектов не менее 3-х лет;              Подтвержденный опыт внедрения цифровых продуктов для решения задач бизнеса;              Навыки эффективного управления проектными командами;              Знание современных технологий и инфраструктуры.               Условия:               Профессиональное обучение, семинары, тренинги, конференции;              ДМС, страхование от несчастных случаев, социальные гарантии, корпоративные мероприятия;              Сниженные ставки по кредитованию, программы лояльности для сотрудников;              Высокий уровень корпоративной культуры;              Комфортный офис Sbergile Home с оупенспейсами, лаунж зонами, кафе, рестораном и оборудованными кухнями;              Многофункциональный спортивный зал;              Бесплатный подземный паркинг.                     ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,59000.0,3.0,55500.0,produсt owner|рабочее место оператора контакт центра,"Высшее профильное образование. Опыт управления разработкой, внедрением и сопровождением комплексных проектов не менее 3-х лет. Подтвержденный опыт внедрения цифровых...","Разработка продуктового видения. Управление бэклогом продукта, приоритезация задач. Синхронизация продукта с другими продуктами банка. Презентация продукта в ходе Демо-сессий. ",0.13333333333333333,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Абдуллин Артур Ильнурович,2019-12-08T17:08:20+0300,"  Привет! Если ты активный видеооператор, а КРЕАТИВ и ТВОРЧЕСКИЕ ИДЕИ - твоё всё, поздравляем - эта вакансия для тебя, и мы будем очень рады видеть тебя в своей дружной команде!    Мы - семейная пара Ютуб-блогеров, у каждого из нас свой отдельный канал - мужской канал про то, как стартовать в бизнесе с нуля, и женский канал о психологии, отношениях, счастье и мечтах.   Мы ищем для себя видеооператора-монтажера с режиссерским креативным мышлением!    Обязанности:      Съемка видеороликов для двух Ютуб-каналов   Монтаж видеороликов   Активное участие и помощь в создании сценариев (идеи, предложения, креатив, инициативность)   Участие в совещаниях и обсуждении роликов   Общение в чате Whats App - 24/7     Требования:     Опыт работы в сфере видеопродакшн - от 3 лет   Креативное мышление и творческий подход   Режиссерские навыки, навыки сценариста   Владение новейшими технологиями видеомонтажа (надписи, вставки и прочее)   Умение работать оперативно, не откладывать в долгий ящик монтаж и правки   Мобильность     Условия:     Оплата 100 000 руб в месяц на руки чистыми   Полная занятость, полный день, у вас не должно быть дополнительных проектов       ",Полная занятость,Полный день,От 3 до 6 лет,|Креативность|Работа в команде|Видеомонтаж|Видеосъемка|Обработка видео,6.0,100000.0,3.0,100000.0,видеооператор монтажер,"Опыт работы в сфере видеопродакшн - от 3 лет. Креативное мышление и творческий подход. Режиссерские навыки, навыки сценариста. Владение новейшими технологиями...","Съемка видеороликов для двух Ютуб-каналов. Монтаж видеороликов. Активное участие и помощь в создании сценариев (идеи, предложения, креатив, инициативность). ",0.16666666666666666,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Москва,Люкс Лайн,2019-12-11T09:49:54+0300," В команду проекта развлекательно-игровой тематики открыта вакансия специалиста по работе с клиентами/оператора call-центра.   График работы 2/2 c 9:00-21:00     Обязанности:      Работа без поиска клиентов, без продаж,   Входящие звонки - 20% от общей нагрузки. Основная работа с почтой, jivosite,  livechatinc,    Консультативная поддержка клиентов в чатах ( livechatinc ),   Предоставление всей нужной информации клиенту по сайту, процедурам и акциям компании,   Ввод в базу данных полученной информации.      Требования:      Грамотная письменная и устная речь. Грамотность письменной речи - обязательное условие!    Внимательность к деталям и цифрам ,     Стрессоустойчивость в нестандартных ситуациях,   Доброжелательность,   Высокий уровень коммуникативных навыков,   Умение четко и быстро выражать свои мысли,   Ответственный подход к своему делу,   Нацеленность на командный и личный результат,   Пунктуальность (за опоздания штрафуем),   На вакансию рассматриваются кандидаты только при наличии отклика с резюме!      Условия:      Офис в шаговой доступности от м. Нагатинская,   График работы 2/2 (12 часов), дневные смены.   Официальное трудоустройство, оформление по ТК РФ (после прохождения испытательного срока),   Обучение и стажировка (стажировка оплачивается из расчета 223 руб./час),   Отсутствие дресс-кода,   Тип занятости - Полная занятость, полный день   ",Полная занятость,Сменный график,Нет опыта,|Грамотность|Высокая скорость печати|Коммуникативные навыки|Пользователь ПК|Работа с большим объемом информации,,45000.0,,40000.0,оператор сall центра специалист технической поддержки,Грамотная письменная и устная речь. Грамотность письменной речи - обязательное условие! Внимательность к деталям и цифрам. Стрессоустойчивость в нестандартных ситуациях. Доброжелательность. ,"Работа без поиска клиентов, без продаж. Входящие звонки - 20% от общей нагрузки. Основная работа с почтой, jivosite, livechatinc. ",0.06666666666666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
Москва,Аромакод,2019-12-04T15:34:43+0300," Обязанности:     Монтаж роликов для YouTube c учетом специфики платформы (топы, новости, женский контент)   Выполнение функций оператора постановщика   Звуковое оформление   В свободное время от монтажа работа дизайнера (создание рекламных баннеров информирующих о проходящих акциях интернет-магазина)     Требования:     Доброжелательность, чувство юмора   Отличное понимание сути и теории света/фото/видеосъемок   Портфолио с работами     Условия:     Работа в офисе (м.Коломенская- шаговая доступность), график 5/2   Бесплатные обеды   ",Полная занятость,Полный день,От 1 года до 3 лет,|Adobe Photoshop|Adobe After Effect|CorelDRAW|Обработка видео|Поиск информации в интернет,3.0,50000.0,1.0,55500.0,оператор видеомонтажер для канала youtube,"Доброжелательность, чувство юмора. Отличное понимание сути и теории света/фото/видеосъемок. Портфолио с работами.","Монтаж роликов для YouTube c учетом специфики платформы (топы, новости, женский контент). Выполнение функций оператора постановщика. Звуковое оформление. ",0.3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,ИнфоКомм,2019-12-09T15:29:32+0300," Условия:   График работы: пн-пт. 9:00 до 18:00 выходной сб., вс Оплата труда: от 1600 руб./день Место работы: офис, центр Москвы (метро Тульская). Оформление: срочный договор (заключается на год с возможностью продления) в соответствии с ТК РФ   В обязанности оператора входит следующее: 1. Подготовка архивных документов к сканированию (расшивка, внесение информации в БД по инструкции). 2. Сканирование документов (все оборудование уже будет предварительно настроено).   Требования к кандидатам:   Внимательность, аккуратность, уверенный пользователь ПК Опыт сканирования документов будет вашим преимуществом.       Компания &quot;ИнфоКомм&quot; осуществляет свою деятельность с 1997 года. География проектов - Россия. Основные заказчики - федеральные и муниципальные архивы, библиотеки, органы власти. По данной вакансии сотрудники набираются в городе МОСКВА. ",Полная занятость,Полный день,Нет опыта,"|уверенный пользователь ПК, знакомство со сканирующим оборудованием",,40000.0,,32000.0,оператор пк,"Внимательность, аккуратность, уверенный пользователь ПК. Опыт сканирования документов будет вашим преимуществом.","1. Подготовка архивных документов к сканированию (расшивка, внесение информации в БД по инструкции). 2. Сканирование документов (все оборудование уже будет...",0.13333333333333333,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Москва,Skillbox,2019-12-13T11:52:13+0300,"  Skillbox  — онлайн-университет, лидер российского рынка онлайн-образования. Наша миссия — изменить мир образования в России и СНГ, используя фокус на новые и востребованные профессии через технологии и инновационные методологии онлайн-обучения.       Мы снимаем видео (собственная видеостудия, специалисты и оборудование). Мы ищем талантливого человека, который любит снимать и монтировать. От тебя — коммуникабельность, оперативность, желание расти и делать самые лучшие видео. Мы ценим инициативу и креативные идеи. Если ты обладаешь высокой степенью ответственности и у тебя нестандартное мышление, тогда тебе к нам!        Чем предстоит заниматься:      Съемка и монтаж видеокурсов, рекламных роликов, трейлеров, отчётников мероприятий, контента на ютуб и т.п., работа со звуком;   Активное участие в работе над проектами (идеи, предложения).          Что мы ждем от тебя:      Знание основных принципов монтажа в Adobe Premiere;   Знание основных принципов работы с vMix;   Базовые навыки работы в After Effect (анимирование текста, кеинг);   Знание цветокоррекции;   Высокая скорость работы;   Умение работы со звуковыми плагинами Waves;   Владение DSLR камерами;   Опыт в сфере производства рекламного и корпоративного видео;   Наличие резюме и примеров работ  обязательно .          Мы предлагаем отличные условия:      Интересные и амбициозные задачи, возможность самореализации, неограниченный профессиональный рост.   Достойный уровень зарплаты, обсуждается по итогам собеседования.   Возможность прохождения любых дистанционных курсов Skillbox, корпоративную скидку на изучение английского языка в Skyeng и другие.   Работу в профессиональной команде, состоящей из разработчиков с большим опытом на уровне экспертов.   Корпоративные активности (волейбол, футбол, квесты, квизы, шахматы, Skillbox.fm и др.).   Мы очень любим праздники и поэтому в пятницу у нас всегда есть повод поесть пиццу, бургеры или роллы.   Есть все для того, чтобы передохнуть или переключиться в офисе.   График работы 2/2   Полное соблюдение ТК РФ.      В сопроводительном письме мы ждем рассказ о себе и ссылку на твои лучшие работы.      ",Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,59000.0,1.0,55500.0,оператор монтажер,Знание основных принципов монтажа в Adobe Premiere. Знание основных принципов работы с vMix. Базовые навыки работы в After Effect (анимирование...,"Съемка и монтаж видеокурсов, рекламных роликов, трейлеров, отчётников мероприятий, контента на ютуб и т.п., работа со звуком. ",0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Смарт Телеком,2019-12-05T15:05:40+0300,"  Обязанности:      Работа на входящих звонках   Консультирование по услугам компании   Прием, оформление и выполнение заявок в биллинговой программе   Поддержка пользователей по телефону и электронной почте   Заведение учётной записи абонента      Требования:      Грамотная русская речь   Вежливая‚ доброжелательная манера общения   Исполнительность‚ аккуратность‚ стрессоустойчивость‚ ответственность   Готовность к обучению   Знание ПК   Навык ведения телефонных переговоров‚ опыт работы в контактном центре – приветствуется, но не является обязательным      Условия:      Оформление по ТК РФ   Социальный пакет   Заработная плата от 30 000 руб.+бонусная часть   Работа в офисе по адресу м. Чернышевская, ул. Радищева(рядом с метро)   Собеседование проходит по адресу м. Чернышевская, ул. Радищева по предварительной записи   График работы: смены 12 часов (не ночные) 2/2 сменный, с 08:30-20:30 или с 10:30-22:30   ",Полная занятость,Сменный график,От 1 года до 3 лет,|Прием и распределение телефонных звонков|Грамотная речь|Пользователь ПК|Телефонные переговоры|входящие звонки,3.0,44214.285714285725,1.0,30000.0,оператор сall центра,Грамотная русская речь. Вежливая‚ доброжелательная манера общения. Исполнительность‚ аккуратность‚ стрессоустойчивость‚ ответственность. Готовность к обучению. Знание ПК. Навык ведения телефонных переговоров...,"Работа на входящих звонках. Консультирование по услугам компании. Прием, оформление и выполнение заявок в биллинговой программе. Поддержка пользователей по телефону...",0.26666666666666666,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
Санкт-Петербург,Триколор,2019-12-09T16:14:41+0300,"  Присоединяйтесь!    Мы — один из крупнейших контактных центров Северо-Западного региона; круглосуточная служба поддержки клиентов, которая предоставляет услуги по информационному обслуживанию.    Развивайтесь вместе с нами!     1. Мы обучаем на всех этапах работы.      Оплачиваем соискателям период обучения.   Поддерживаем и сопровождаем во время работы, проводим онлайн-тренинги.          2. Мы — команда!      Проводим конкурсы и награждаем лучших сотрудников.   Предлагаем мотивационные программы и ведем активную корпоративную жизнь. И да, онлайн тоже!      Наш Контактный центр получил высокую оценку жюри на конкурсе «Хрустальная гарнитура» в номинации «Лучший средний контактный центр – 2019».     3. Мы заботимся о сотрудниках:      Вы сможете работать из дома, где всегда комфортно и спокойно.   Можно сэкономить деньги и время на дорогу и обеды.   Предлагаем сменный график 2/2 по 12 часов, график 5/2 по 8 часов (выходные суббота и воскресенье); а также графики с частичной занятостью: 2/2 по 6 часов, 5/2 по 6 часов и по 4 часа (выходные суббота и воскресенье).          4. Для работы дома понадобятся:      ПК или ноутбук с проводным доступом в интернет.   USB-гарнитура.          5. Мы гарантируем:      Официальное трудоустройство.   Заработную плату от 28 000 до 36 000 руб. (до вычета НДФЛ).          6. На работе мы:      Принимаем входящие звонки от клиентов Триколора.  Поиск и привлечение новых клиентов не требуется.    Предоставляем технические консультации.   Продвигаем дополнительные услуги компании и акции по обмену оборудования.          7. Мы заботимся о наших клиентах!     Для нас в кандидатах важны:      вежливость и клиентоориентированность;   грамотная речь;   четкая дикция;   владение ПК на уровне пользователя;   желание помогать людям.   ",Полная занятость,Удаленная работа,Нет опыта,,,36000.0,,28000.0,оператор домашнего колл центра сall центра контактного центра,Вежливость и клиентоориентированность. Грамотная речь. Четкая дикция. Владение ПК на уровне пользователя. Желание помогать людям.,Принимаем входящие звонки от клиентов Триколора. Поиск и привлечение новых клиентов не требуется. Предоставляем технические консультации. Продвигаем дополнительные услуги компании...,0.13333333333333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Север Телеком,2019-12-06T15:49:55+0300,"  Федеральная телекоммуникационная компания России в поиске оператора входящего кол-центра. Все резюме будут просмотрены.    Требования :      Коммуникабельность,ответственность,пунктуальность;   Клиентоориентированность;   Опыт работы в кол-центрах будет являться вашим преимуществом;      Обязанности :      Только входящие звонки-консультация клиентов по тарифам интернета и телефонии (без продаж и исходящих звонков);       Условия:       График работы сменный: 2/2; часы работы:с 10.00-22.00;   Оформление по ТК РФ+ соц. пакет;   Бесплатные тренинги и корпоративное обучение внутри Компании;   Работа в комфортном офисе БЦ &quot;Сенатор&quot; в историческом центре города;   Молодой, дружный коллектив.   Возможность карьерного роста   м. Спортивная\Василеостровская (10 минут пешком)    ",Полная занятость,Сменный график,Нет опыта,,,44214.285714285725,,30000.0,оператор сall центра,"Коммуникабельность,ответственность,пунктуальность. Клиентоориентированность. Опыт работы в кол-центрах будет являться вашим преимуществом.",Только входящие звонки-консультация клиентов по тарифам интернета и телефонии (без продаж и исходящих звонков).,0.23333333333333334,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Триколор,2019-12-09T15:53:56+0300,"  Присоединяйтесь!    Мы — один из крупнейших контактных центров Северо-Западного региона; круглосуточная служба поддержки клиентов, которая предоставляет услуги по информационному обслуживанию.    Развивайтесь вместе с нами!     1. Мы обучаем на всех этапах работы.      Проводим в своем обучающем центре профессиональной подготовки тренинги и деловые игры.   Оплачиваем соискателям период обучения.      2. Мы предоставляем возможность профессионального и карьерного роста.      Вы сможете в будущем стать руководителем группы или направления.   Возможность пройти программу подготовки в кадровом резерве.      3. Мы — команда!      Проводим конкурсы и награждаем лучших сотрудников.   Предлагаем мотивационные программы и ведем активную корпоративную жизнь.   У нас своя футбольная команда: вы сможете стать как игроком, так и активным болельщиком.      Наш Контактный центр получил высокую оценку жюри на конкурсе «Хрустальная гарнитура» в номинации «Лучший средний контактный центр – 2019».     4. Мы заботимся о сотрудниках:          Удобные графики:         - полная занятость: 2/2 по 12 часов, 5/2 по 8 часов (выходные - суббота, воскресенье / воскресенье, понедельник);   - частичная занятость: 2/2 по 6 часов, 5/2 по 6 часов и по 4 часа (выходные - суббота, воскресенье / воскресенье, понедельник).     У нас нет дресс-кода, стиль одежды свободный.    Бесплатные обеды, в том числе веганское меню!    Предоставляем скидки на стоматологические услуги.   Поддерживаем здоровый образ жизни: предоставляем корпоративные тарифы на покупку абонемента в спортзал и награждаем бонусами некурящих.   Мы оборудовали для сотрудников мини-спортзал, кухню и комнаты отдыха, где есть теннисный стол, игровая приставка Xbox и живой уголок.      5. Мы рядом с метро.      Наш офис находится в пешей доступности (около 10 минут) от ст. м. «Старая Деревня», также ближайшие к нам ст. м. — «Пионерская» и «Комендантский проспект».      Совсем скоро мы переезжаем в новый современный офис в Петроградском районе (ст.м. Чкаловская)!     6. Мы гарантируем:      Официальное трудоустройство.   Заработную плату от 30 000 до 48 000 руб. (до вычета НДФЛ).      7. На работе мы:      Принимаем входящие звонки от клиентов Триколора.  Поиск и привлечение новых клиентов не требуется.    Предоставляем технические консультации.   Продвигаем дополнительные услуги компании и акции по обмену оборудования.      8. Мы заботимся о наших клиентах!     Для нас в кандидатах важны:      вежливость и клиентоориентированность;   грамотная речь;   четкая дикция;   владение ПК на уровне пользователя;   желание помогать людям.       ",Полная занятость,Полный день,Нет опыта,,,48000.0,,30000.0,оператор колл центра сall центра контактного центра,Вежливость и клиентоориентированность. Грамотная речь. Четкая дикция. Владение ПК на уровне пользователя. Желание помогать людям.,Принимаем входящие звонки от клиентов Триколора. Поиск и привлечение новых клиентов не требуется. Предоставляем технические консультации. Продвигаем дополнительные услуги компании...,0.13333333333333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Заглушка.Ру,2019-11-25T11:26:56+0300," Обязанности:     обслуживание обрабатывающего центра &quot;OKUMA L 300 - MYW&quot;     Требования:     опыт работы не менее года на станках с программным управлением;   знание специфики обработки различных металлов;   умение самостоятельно настроить и обслужить станок;   умение читать чертежи и техническую документацию.     Условия:     график работы: 2 смены в день, 2 дня выходных, 2 смены в ночь - по 12 часов;   10-ти дневная оплачиваемая переподготовка кандидатов с опытом работы на других станках;   работа в р-не ст.м. &quot;Площадь Ленина&quot;, территория завода &quot;Арсенал&quot;;   теплый цех с современным оборудованием;   комфортабельная комната приема пищи.   выплаты заработной платы 2 раза в месяц без задержек;   оформление по ТК РФ.   ",Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,50000.0,1.0,50000.0,оператор станка с чпу,Опыт работы не менее года на станках с программным управлением. Знание специфики обработки различных металлов. Умение самостоятельно настроить и обслужить...,Обслуживание обрабатывающего центра &quot;OKUMA L 300 - MYW&quot;.,0.6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,CSI (Кристалл Сервис Интеграция),2019-12-11T13:25:18+0300," CSI - разработчик решений для сетевого ритэйла. Более 20 лет мы создаем продукты и организуем сервис, которым пользуются миллионы людей каждый день. Это персонал магазинов и покупатели.       В команде первой линии поддержки есть вакансия для специалиста с высоким уровнем исполнительности и ответственности. Эта вакансия тех, кто любит много работать, умеет ориентироваться в потоке информации, стрессоустойчив и готов к командной работе. Это отличная работа для тех, кто не боится трудностей и готов учиться новому.        Обязанности:      Регистрация входящих обращений (почта, CRM);   Приём входящих звонков (без холодных звонков и продаж);   Распределение заявок по ответственным отделам;   Работа с эскалациями от клиентов.      Требования:      Уверенный пользователь офисного пакета Windows;   Грамотная речь, навыки деловой переписки;   Клиентоориентированность;   Ответственность и исполнительность.      У нас:      График работы сменный;   Оформление по ТК РФ;   ДМС со стоматологией;   Полугодовые премии;   Возможности профессионального развития и роста;   Работа в комфортном офисе (м. Петроградская, м. Чкаловская).           ",Полная занятость,Сменный график,Нет опыта,,,35500.0,,30500.0,оператор serviсe desk,"Уверенный пользователь офисного пакета Windows. Грамотная речь, навыки деловой переписки. Клиентоориентированность. Ответственность и исполнительность.","Регистрация входящих обращений (почта, CRM). Приём входящих звонков (без холодных звонков и продаж). Распределение заявок по ответственным отделам. ",0.06666666666666667,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Ростелеком,2019-11-28T10:12:15+0300," Обязанности:     консультирование физических лиц с целью продажи по услугам, тарифам, акциям;   оформление заявок на подключение услуг компании;   выполнение производственных показателей;   ведение отчетности     Требования:     среднее профессиональное образование;   опыт работы в продажах по телефону от 1 года;   навык работы с большим объемом информации;   уверенный пользователь ПК     Условия:     график работы: 2/2, 5/2   есть возможность работать неполный день   комфортный офис   ежемесячное премирование по итогам работы   обучение, развитие в Компании   ДМС, бонусы, льготы   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,44214.285714285725,1.0,34172.72727272727,оператор сall центра,Среднее профессиональное образование. Опыт работы в продажах по телефону от 1 года. Навык работы с большим объемом информации. ,"Консультирование физических лиц с целью продажи по услугам, тарифам, акциям. Оформление заявок на подключение услуг компании. Выполнение производственных показателей. ",0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,"ТАЙПИТ, Торгово-промышленная группа",2019-12-10T10:01:58+0300,"  В связи с расширением производства и запуском участка металлообработки с новым оборудованием приглашаем на работу Оператора станков с ЧПУ     Обязанности:      Выполнение простых деталей типа фланец   Контроль качества согласно КД   Контроль процесса обработки деталей серийного производства. Наличие документов, подтверждающих квалификацию   Чтение чертежей     Требования:     Опыт работы со стойками фрезерной и токарной группы Fanuc TXP100FA, Fanuc MXP200FB(Fanuc 32i-MA)   Наличие документов, подтверждающих квалификацию     Условия:     Работа в компании с многолетней историей   Оформление в соответствии с законодательством   График работы: 2/2 (смена по 12ч.)   ",Полная занятость,Сменный график,От 1 года до 3 лет,|Чтение чертежей,3.0,60000.0,1.0,34172.72727272727,оператор станков с чпу,"Опыт работы со стойками фрезерной и токарной группы Fanuc TXP100FA, Fanuc MXP200FB(Fanuc 32i-MA). ","Выполнение простых деталей типа фланец. Контроль качества согласно КД. Контроль процесса обработки деталей серийного производства. Наличие документов, подтверждающих квалификацию. ",0.1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
