city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,KEDDO,2019-12-11T10:25:14+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Заказ GTIN, кодов маркировки.</li> <li>Оперативное занесение данных в 1С, отслеживание изменений.</li> <li>Взаимодействие с другими отделами компании.</li> <li>Консультирование оптовых клиентов по вопросу маркировки.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в 1С.</li> <li>Уверенный пользователь Excel.</li> <li>Высокая внимательность к данным, цифрам и информации.</li> <li>Легкая обучаемость, желание погружаться в новый проект.</li> </ul> <strong>Условия:</strong> <ul> <li>График работы: 5/2 с 10.00 до 18.00.</li> <li>Работа в международной компании.</li> <li>Стабильная зарплата.</li> <li>Возможности для профессионального и карьерного роста.</li> <li>Корпоративные мероприятия в дружном коллективе.</li> <li>И множество других бонусов: скидки на продукцию компании, подарки к различным праздникам и событиям.</li> </ul>",Полная занятость,Полный день,Нет опыта,Без ключевых навыков,,60000.0,,50000.0,оператор 1с,"Опыт работы в 1С. Уверенный пользователь Excel. Высокая внимательность к данным, цифрам и информации. Легкая обучаемость, желание погружаться в...","Заказ GTIN, кодов маркировки. Оперативное занесение данных в 1С, отслеживание изменений. Взаимодействие с другими отделами компании. Консультирование оптовых клиентов...",2
Москва,Сбербанк,2019-12-09T19:34:02+0300,"<p><span><span><strong>Наша цель</strong> – <span><span><span>создать доступный, современный и функциональный сервис обслуживания корпоративных клиентов в голосовом и текстовом канале.</span></span></span></span></span></p><p> </p><p><span><span><strong>Наш продукт</strong> <span><span><span>– модуль в рабочем месте оператора для решений проблем клиента при звонке и в чате. Продукт-интеграционный. По сути, это единое окно к банковским данным и операциям для операторов контактного центра. Уже реализованы интеграции с десятком банковских систем через корпоративную шину данных. Планируется развитие модуля умных технологий: гибких операторских скриптов и искусственного интеллекта.</span></span></span></span></span></p><p> </p><p><span><span><strong>Наша команда -</strong> <span><span><span>9 человек. Состав ролей – аналитики, разрабочики, тестировщики и владелец продукта. Команда стабильная, с разнообразным опытом (банковским и не банковским), с понимаем современных трендов в цифровых сервисах и инструментах.</span></span></span></span></span></p><p> </p><p><span><span><strong>Обязанности:</strong></span></span></p><p> </p><ul><li><span><span><span><span><span><span>Разработка продуктового видения;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Управление бэклогом продукта, приоритезация задач;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Синхронизация продукта с другими продуктами банка;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Презентация продукта в ходе Демо-сессий;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Участие в тестировании продукта;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Управление ожиданиями стейкхолдеров.</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Работа с командами разработки продукта: презентация концепций, написание бизнес-требований, контроль реализации на этапах разработки.</span></span></span></span></span></span></li></ul><p> </p><p> </p><p><span><span><strong>Требования:</strong></span></span></p><p> </p><ul><li><span><span><span><span><span><span>Высшее профильное образование;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Опыт управления разработкой, внедрением и сопровождением комплексных проектов не менее 3-х лет;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Подтвержденный опыт внедрения цифровых продуктов для решения задач бизнеса;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Навыки эффективного управления проектными командами;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Знание современных технологий и инфраструктуры.</span></span></span></span></span></span></li></ul><p> </p><p><span><span><strong>Условия:</strong></span></span></p><p> </p><ul><li><span><span><span><span><span><span>Профессиональное обучение, семинары, тренинги, конференции;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>ДМС, страхование от несчастных случаев, социальные гарантии, корпоративные мероприятия;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Сниженные ставки по кредитованию, программы лояльности для сотрудников;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Высокий уровень корпоративной культуры;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Комфортный офис Sbergile Home с оупенспейсами, лаунж зонами, кафе, рестораном и оборудованными кухнями;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Многофункциональный спортивный зал;</span></span></span></span></span></span></li><li><span><span><span><span><span><span>Бесплатный подземный паркинг.</span></span></span></span></span></span></li></ul><p> </p><p> </p><p> </p><p> </p><div></div>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,59000.0,3.0,55500.0,produсt owner|рабочее место оператора контакт центра,"Высшее профильное образование. Опыт управления разработкой, внедрением и сопровождением комплексных проектов не менее 3-х лет. Подтвержденный опыт внедрения цифровых...","Разработка продуктового видения. Управление бэклогом продукта, приоритезация задач. Синхронизация продукта с другими продуктами банка. Презентация продукта в ходе Демо-сессий. ",4
Москва,Абдуллин Артур Ильнурович,2019-12-08T17:08:20+0300,"<p><strong>Привет! Если ты активный видеооператор, а КРЕАТИВ и ТВОРЧЕСКИЕ ИДЕИ - твоё всё, поздравляем - эта вакансия для тебя, и мы будем очень рады видеть тебя в своей дружной команде!</strong></p> <p>Мы - семейная пара Ютуб-блогеров, у каждого из нас свой отдельный канал - мужской канал про то, как стартовать в бизнесе с нуля, и женский канал о психологии, отношениях, счастье и мечтах.</p> <p>Мы ищем для себя видеооператора-монтажера с режиссерским креативным мышлением!</p> <p><strong>Обязанности:</strong></p> <ul> <li>Съемка видеороликов для двух Ютуб-каналов</li> <li>Монтаж видеороликов</li> <li>Активное участие и помощь в создании сценариев (идеи, предложения, креатив, инициативность)</li> <li>Участие в совещаниях и обсуждении роликов</li> <li>Общение в чате Whats App - 24/7</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в сфере видеопродакшн - от 3 лет</li> <li>Креативное мышление и творческий подход</li> <li>Режиссерские навыки, навыки сценариста</li> <li>Владение новейшими технологиями видеомонтажа (надписи, вставки и прочее)</li> <li>Умение работать оперативно, не откладывать в долгий ящик монтаж и правки</li> <li>Мобильность</li> </ul> <strong>Условия:</strong> <ul> <li>Оплата 100 000 руб в месяц на руки чистыми</li> <li>Полная занятость, полный день, у вас не должно быть дополнительных проектов</li> </ul> <p> </p>",Полная занятость,Полный день,От 3 до 6 лет,|Креативность|Работа в команде|Видеомонтаж|Видеосъемка|Обработка видео,6.0,100000.0,3.0,100000.0,видеооператор монтажер,"Опыт работы в сфере видеопродакшн - от 3 лет. Креативное мышление и творческий подход. Режиссерские навыки, навыки сценариста. Владение новейшими технологиями...","Съемка видеороликов для двух Ютуб-каналов. Монтаж видеороликов. Активное участие и помощь в создании сценариев (идеи, предложения, креатив, инициативность). ",5
Москва,Люкс Лайн,2019-12-11T09:49:54+0300,"<p>В команду проекта развлекательно-игровой тематики открыта вакансия специалиста по работе с клиентами/оператора call-центра.</p> <p>График работы 2/2 c 9:00-21:00</p> <p><br /><strong>Обязанности:</strong></p> <ul> <li>Работа без поиска клиентов, без продаж,</li> <li>Входящие звонки - 20% от общей нагрузки. Основная работа с почтой, jivosite, <strong>livechatinc,</strong></li> <li>Консультативная поддержка клиентов в чатах (<strong>livechatinc</strong>),</li> <li>Предоставление всей нужной информации клиенту по сайту, процедурам и акциям компании,</li> <li>Ввод в базу данных полученной информации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Грамотная письменная и устная речь. Грамотность письменной речи - обязательное условие!</li> <li><strong>Внимательность к деталям и цифрам<em>,</em></strong></li> <li>Стрессоустойчивость в нестандартных ситуациях,</li> <li>Доброжелательность,</li> <li>Высокий уровень коммуникативных навыков,</li> <li>Умение четко и быстро выражать свои мысли,</li> <li>Ответственный подход к своему делу,</li> <li>Нацеленность на командный и личный результат,</li> <li>Пунктуальность (за опоздания штрафуем),</li> <li>На вакансию рассматриваются кандидаты только при наличии отклика с резюме!</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Офис в шаговой доступности от м. Нагатинская,</li> <li>График работы 2/2 (12 часов), дневные смены.</li> <li>Официальное трудоустройство, оформление по ТК РФ (после прохождения испытательного срока),</li> <li>Обучение и стажировка (стажировка оплачивается из расчета 223 руб./час),</li> <li>Отсутствие дресс-кода,</li> <li>Тип занятости - Полная занятость, полный день</li> </ul>",Полная занятость,Сменный график,Нет опыта,|Грамотность|Высокая скорость печати|Коммуникативные навыки|Пользователь ПК|Работа с большим объемом информации,,45000.0,,40000.0,оператор сall центра специалист технической поддержки,Грамотная письменная и устная речь. Грамотность письменной речи - обязательное условие! Внимательность к деталям и цифрам. Стрессоустойчивость в нестандартных ситуациях. Доброжелательность. ,"Работа без поиска клиентов, без продаж. Входящие звонки - 20% от общей нагрузки. Основная работа с почтой, jivosite, livechatinc. ",2
Москва,Аромакод,2019-12-04T15:34:43+0300,"<strong>Обязанности:</strong> <ul> <li>Монтаж роликов для YouTube c учетом специфики платформы (топы, новости, женский контент)</li> <li>Выполнение функций оператора постановщика</li> <li>Звуковое оформление</li> <li>В свободное время от монтажа работа дизайнера (создание рекламных баннеров информирующих о проходящих акциях интернет-магазина)</li> </ul> <strong>Требования:</strong> <ul> <li>Доброжелательность, чувство юмора</li> <li>Отличное понимание сути и теории света/фото/видеосъемок</li> <li>Портфолио с работами</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в офисе (м.Коломенская- шаговая доступность), график 5/2</li> <li>Бесплатные обеды</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Adobe Photoshop|Adobe After Effect|CorelDRAW|Обработка видео|Поиск информации в интернет,3.0,50000.0,1.0,55500.0,оператор видеомонтажер для канала youtube,"Доброжелательность, чувство юмора. Отличное понимание сути и теории света/фото/видеосъемок. Портфолио с работами.","Монтаж роликов для YouTube c учетом специфики платформы (топы, новости, женский контент). Выполнение функций оператора постановщика. Звуковое оформление. ",9
Москва,ИнфоКомм,2019-12-09T15:29:32+0300,"<p>Условия:</p> <p>График работы: пн-пт. 9:00 до 18:00 выходной сб., вс<br />Оплата труда: от 1600 руб./день<br />Место работы: офис, центр Москвы (метро Тульская).<br />Оформление: срочный договор (заключается на год с возможностью продления) в соответствии с ТК РФ</p> <p>В обязанности оператора входит следующее:<br />1. Подготовка архивных документов к сканированию (расшивка, внесение информации в БД по инструкции).<br />2. Сканирование документов (все оборудование уже будет предварительно настроено).</p> <p>Требования к кандидатам:</p> <p>Внимательность, аккуратность, уверенный пользователь ПК<br />Опыт сканирования документов будет вашим преимуществом.</p> <p> </p> <p>Компания &quot;ИнфоКомм&quot; осуществляет свою деятельность с 1997 года. География проектов - Россия. Основные заказчики - федеральные и муниципальные архивы, библиотеки, органы власти. По данной вакансии сотрудники набираются в городе МОСКВА.</p>",Полная занятость,Полный день,Нет опыта,"|уверенный пользователь ПК, знакомство со сканирующим оборудованием",,40000.0,,32000.0,оператор пк,"Внимательность, аккуратность, уверенный пользователь ПК. Опыт сканирования документов будет вашим преимуществом.","1. Подготовка архивных документов к сканированию (расшивка, внесение информации в БД по инструкции). 2. Сканирование документов (все оборудование уже будет...",4
Москва,Skillbox,2019-12-13T11:52:13+0300,"<p><strong>Skillbox </strong>— онлайн-университет, лидер российского рынка онлайн-образования. Наша миссия — изменить мир образования в России и СНГ, используя фокус на новые и востребованные профессии через технологии и инновационные методологии онлайн-обучения.</p> <p> </p> <p>Мы снимаем видео (собственная видеостудия, специалисты и оборудование). Мы ищем талантливого человека, который любит снимать и монтировать. От тебя — коммуникабельность, оперативность, желание расти и делать самые лучшие видео. Мы ценим инициативу и креативные идеи. Если ты обладаешь высокой степенью ответственности и у тебя нестандартное мышление, тогда тебе к нам!</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Съемка и монтаж видеокурсов, рекламных роликов, трейлеров, отчётников мероприятий, контента на ютуб и т.п., работа со звуком;</li> <li>Активное участие в работе над проектами (идеи, предложения).</li> </ul> <p> </p> <p><strong>Что мы ждем от тебя:</strong></p> <ul> <li>Знание основных принципов монтажа в Adobe Premiere;</li> <li>Знание основных принципов работы с vMix;</li> <li>Базовые навыки работы в After Effect (анимирование текста, кеинг);</li> <li>Знание цветокоррекции;</li> <li>Высокая скорость работы;</li> <li>Умение работы со звуковыми плагинами Waves;</li> <li>Владение DSLR камерами;</li> <li>Опыт в сфере производства рекламного и корпоративного видео;</li> <li>Наличие резюме и примеров работ <strong>обязательно</strong>.</li> </ul> <p> </p> <p><strong>Мы предлагаем отличные условия:</strong></p> <ul> <li>Интересные и амбициозные задачи, возможность самореализации, неограниченный профессиональный рост.</li> <li>Достойный уровень зарплаты, обсуждается по итогам собеседования.</li> <li>Возможность прохождения любых дистанционных курсов Skillbox, корпоративную скидку на изучение английского языка в Skyeng и другие.</li> <li>Работу в профессиональной команде, состоящей из разработчиков с большим опытом на уровне экспертов.</li> <li>Корпоративные активности (волейбол, футбол, квесты, квизы, шахматы, Skillbox.fm и др.).</li> <li>Мы очень любим праздники и поэтому в пятницу у нас всегда есть повод поесть пиццу, бургеры или роллы.</li> <li>Есть все для того, чтобы передохнуть или переключиться в офисе.</li> <li>График работы 2/2</li> <li>Полное соблюдение ТК РФ.</li> </ul> <p><strong>В сопроводительном письме мы ждем рассказ о себе и ссылку на твои лучшие работы.</strong></p> <ul> </ul>",Полная занятость,Сменный график,От 1 года до 3 лет,Без ключевых навыков,3.0,59000.0,1.0,55500.0,оператор монтажер,Знание основных принципов монтажа в Adobe Premiere. Знание основных принципов работы с vMix. Базовые навыки работы в After Effect (анимирование...,"Съемка и монтаж видеокурсов, рекламных роликов, трейлеров, отчётников мероприятий, контента на ютуб и т.п., работа со звуком. ",0
Санкт-Петербург,Смарт Телеком,2019-12-05T15:05:40+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Работа на входящих звонках</li> <li>Консультирование по услугам компании</li> <li>Прием, оформление и выполнение заявок в биллинговой программе</li> <li>Поддержка пользователей по телефону и электронной почте</li> <li>Заведение учётной записи абонента</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Грамотная русская речь</li> <li>Вежливая‚ доброжелательная манера общения</li> <li>Исполнительность‚ аккуратность‚ стрессоустойчивость‚ ответственность</li> <li>Готовность к обучению</li> <li>Знание ПК</li> <li>Навык ведения телефонных переговоров‚ опыт работы в контактном центре – приветствуется, но не является обязательным</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ</li> <li>Социальный пакет</li> <li>Заработная плата от 30 000 руб.+бонусная часть</li> <li>Работа в офисе по адресу м. Чернышевская, ул. Радищева(рядом с метро)</li> <li>Собеседование проходит по адресу м. Чернышевская, ул. Радищева по предварительной записи</li> <li>График работы: смены 12 часов (не ночные) 2/2 сменный, с 08:30-20:30 или с 10:30-22:30</li> </ul>",Полная занятость,Сменный график,От 1 года до 3 лет,|Прием и распределение телефонных звонков|Грамотная речь|Пользователь ПК|Телефонные переговоры|входящие звонки,3.0,44214.28571428572,1.0,30000.0,оператор сall центра,Грамотная русская речь. Вежливая‚ доброжелательная манера общения. Исполнительность‚ аккуратность‚ стрессоустойчивость‚ ответственность. Готовность к обучению. Знание ПК. Навык ведения телефонных переговоров...,"Работа на входящих звонках. Консультирование по услугам компании. Прием, оформление и выполнение заявок в биллинговой программе. Поддержка пользователей по телефону...",8
Санкт-Петербург,Триколор,2019-12-09T16:14:41+0300,"<p><strong>Присоединяйтесь!</strong></p> <p>Мы — один из крупнейших контактных центров Северо-Западного региона; круглосуточная служба поддержки клиентов, которая предоставляет услуги по информационному обслуживанию.</p> <p><strong>Развивайтесь вместе с нами!</strong></p> <p><strong>1. Мы обучаем на всех этапах работы.</strong></p> <ul> <li>Оплачиваем соискателям период обучения.</li> <li>Поддерживаем и сопровождаем во время работы, проводим онлайн-тренинги.</li> </ul> <p> </p> <p><strong>2. Мы — команда!</strong></p> <ul> <li>Проводим конкурсы и награждаем лучших сотрудников.</li> <li>Предлагаем мотивационные программы и ведем активную корпоративную жизнь. И да, онлайн тоже!</li> </ul> <p><strong>Наш Контактный центр получил высокую оценку жюри на конкурсе «Хрустальная гарнитура» в номинации «Лучший средний контактный центр – 2019».</strong></p> <p><strong>3. Мы заботимся о сотрудниках:</strong></p> <ul> <li>Вы сможете работать из дома, где всегда комфортно и спокойно.</li> <li>Можно сэкономить деньги и время на дорогу и обеды.</li> <li>Предлагаем сменный график 2/2 по 12 часов, график 5/2 по 8 часов (выходные суббота и воскресенье); а также графики с частичной занятостью: 2/2 по 6 часов, 5/2 по 6 часов и по 4 часа (выходные суббота и воскресенье).</li> </ul> <p> </p> <p><strong>4. Для работы дома понадобятся:</strong></p> <ul> <li>ПК или ноутбук с проводным доступом в интернет.</li> <li>USB-гарнитура.</li> </ul> <p> </p> <p><strong>5. Мы гарантируем:</strong></p> <ul> <li>Официальное трудоустройство.</li> <li>Заработную плату от 28 000 до 36 000 руб. (до вычета НДФЛ).</li> </ul> <p> </p> <p><strong>6. На работе мы:</strong></p> <ul> <li>Принимаем входящие звонки от клиентов Триколора. <strong>Поиск и привлечение новых клиентов не требуется.</strong></li> <li>Предоставляем технические консультации.</li> <li>Продвигаем дополнительные услуги компании и акции по обмену оборудования.</li> </ul> <p> </p> <p><strong>7. Мы заботимся о наших клиентах!</strong></p> <p><strong>Для нас в кандидатах важны:</strong></p> <ul> <li>вежливость и клиентоориентированность;</li> <li>грамотная речь;</li> <li>четкая дикция;</li> <li>владение ПК на уровне пользователя;</li> <li>желание помогать людям.</li> </ul>",Полная занятость,Удаленная работа,Нет опыта,Без ключевых навыков,,36000.0,,28000.0,оператор домашнего колл центра сall центра контактного центра,Вежливость и клиентоориентированность. Грамотная речь. Четкая дикция. Владение ПК на уровне пользователя. Желание помогать людям.,Принимаем входящие звонки от клиентов Триколора. Поиск и привлечение новых клиентов не требуется. Предоставляем технические консультации. Продвигаем дополнительные услуги компании...,4
Санкт-Петербург,Север Телеком,2019-12-06T15:49:55+0300,"<p><strong>Федеральная телекоммуникационная компания России в поиске оператора входящего кол-центра.<br />Все резюме будут просмотрены.</strong><br /><br /><strong>Требования :</strong></p> <ul> <li>Коммуникабельность,ответственность,пунктуальность;</li> <li>Клиентоориентированность;</li> <li>Опыт работы в кол-центрах будет являться вашим преимуществом;</li> </ul> <p><strong>Обязанности :</strong></p> <ul> <li>Только входящие звонки-консультация клиентов по тарифам интернета и телефонии (без продаж и исходящих звонков);</li> </ul> <p><em><strong>Условия:</strong></em></p> <ul> <li>График работы сменный: 2/2; часы работы:с 10.00-22.00;</li> <li>Оформление по ТК РФ+ соц. пакет;</li> <li>Бесплатные тренинги и корпоративное обучение внутри Компании;</li> <li>Работа в комфортном офисе БЦ &quot;Сенатор&quot; в историческом центре города;</li> <li>Молодой, дружный коллектив.</li> <li>Возможность карьерного роста<br /><br /><strong>м. Спортивная\Василеостровская (10 минут пешком)</strong></li> </ul>",Полная занятость,Сменный график,Нет опыта,Без ключевых навыков,,44214.28571428572,,30000.0,оператор сall центра,"Коммуникабельность,ответственность,пунктуальность. Клиентоориентированность. Опыт работы в кол-центрах будет являться вашим преимуществом.",Только входящие звонки-консультация клиентов по тарифам интернета и телефонии (без продаж и исходящих звонков).,7
Санкт-Петербург,Триколор,2019-12-09T15:53:56+0300,"<p><strong>Присоединяйтесь!</strong></p> <p>Мы — один из крупнейших контактных центров Северо-Западного региона; круглосуточная служба поддержки клиентов, которая предоставляет услуги по информационному обслуживанию.</p> <p><strong>Развивайтесь вместе с нами!</strong></p> <p><strong>1. Мы обучаем на всех этапах работы.</strong></p> <ul> <li>Проводим в своем обучающем центре профессиональной подготовки тренинги и деловые игры.</li> <li>Оплачиваем соискателям период обучения.</li> </ul> <p><strong>2. Мы предоставляем возможность профессионального и карьерного роста.</strong></p> <ul> <li>Вы сможете в будущем стать руководителем группы или направления.</li> <li>Возможность пройти программу подготовки в кадровом резерве.</li> </ul> <p><strong>3. Мы — команда!</strong></p> <ul> <li>Проводим конкурсы и награждаем лучших сотрудников.</li> <li>Предлагаем мотивационные программы и ведем активную корпоративную жизнь.</li> <li>У нас своя футбольная команда: вы сможете стать как игроком, так и активным болельщиком.</li> </ul> <p><strong>Наш Контактный центр получил высокую оценку жюри на конкурсе «Хрустальная гарнитура» в номинации «Лучший средний контактный центр – 2019».</strong></p> <p><strong>4. Мы заботимся о сотрудниках:</strong></p> <ul> <li> <p><strong><em>Удобные графики:</em></strong></p> </li> </ul> <p>- полная занятость: 2/2 по 12 часов, 5/2 по 8 часов (выходные - суббота, воскресенье / воскресенье, понедельник);</p> <p>- частичная занятость: 2/2 по 6 часов, 5/2 по 6 часов и по 4 часа (выходные - суббота, воскресенье / воскресенье, понедельник).</p> <ul> <li>У нас нет дресс-кода, стиль одежды свободный.</li> <li><em>Бесплатные обеды, в том числе веганское меню!</em></li> <li>Предоставляем скидки на стоматологические услуги.</li> <li>Поддерживаем здоровый образ жизни: предоставляем корпоративные тарифы на покупку абонемента в спортзал и награждаем бонусами некурящих.</li> <li>Мы оборудовали для сотрудников мини-спортзал, кухню и комнаты отдыха, где есть теннисный стол, игровая приставка Xbox и живой уголок.</li> </ul> <p><strong>5. Мы рядом с метро.</strong></p> <ul> <li>Наш офис находится в пешей доступности (около 10 минут) от ст. м. «Старая Деревня», также ближайшие к нам ст. м. — «Пионерская» и «Комендантский проспект».</li> </ul> <p><strong>Совсем скоро мы переезжаем в новый современный офис в Петроградском районе (ст.м. Чкаловская)!</strong></p> <p><strong>6. Мы гарантируем:</strong></p> <ul> <li>Официальное трудоустройство.</li> <li>Заработную плату от 30 000 до 48 000 руб. (до вычета НДФЛ).</li> </ul> <p><strong>7. На работе мы:</strong></p> <ul> <li>Принимаем входящие звонки от клиентов Триколора.<strong> Поиск и привлечение новых клиентов не требуется.</strong></li> <li>Предоставляем технические консультации.</li> <li>Продвигаем дополнительные услуги компании и акции по обмену оборудования.</li> </ul> <p><strong>8. Мы заботимся о наших клиентах!</strong></p> <p><strong>Для нас в кандидатах важны:</strong></p> <ul> <li>вежливость и клиентоориентированность;</li> <li>грамотная речь;</li> <li>четкая дикция;</li> <li>владение ПК на уровне пользователя;</li> <li>желание помогать людям.</li> </ul> <p> </p>",Полная занятость,Полный день,Нет опыта,Без ключевых навыков,,48000.0,,30000.0,оператор колл центра сall центра контактного центра,Вежливость и клиентоориентированность. Грамотная речь. Четкая дикция. Владение ПК на уровне пользователя. Желание помогать людям.,Принимаем входящие звонки от клиентов Триколора. Поиск и привлечение новых клиентов не требуется. Предоставляем технические консультации. Продвигаем дополнительные услуги компании...,4
Санкт-Петербург,Заглушка.Ру,2019-11-25T11:26:56+0300,"<strong>Обязанности:</strong> <ul> <li>обслуживание обрабатывающего центра &quot;OKUMA L 300 - MYW&quot;</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы не менее года на станках с программным управлением;</li> <li>знание специфики обработки различных металлов;</li> <li>умение самостоятельно настроить и обслужить станок;</li> <li>умение читать чертежи и техническую документацию.</li> </ul> <strong>Условия:</strong> <ul> <li>график работы: 2 смены в день, 2 дня выходных, 2 смены в ночь - по 12 часов;</li> <li>10-ти дневная оплачиваемая переподготовка кандидатов с опытом работы на других станках;</li> <li>работа в р-не ст.м. &quot;Площадь Ленина&quot;, территория завода &quot;Арсенал&quot;;</li> <li>теплый цех с современным оборудованием;</li> <li>комфортабельная комната приема пищи.</li> <li>выплаты заработной платы 2 раза в месяц без задержек;</li> <li>оформление по ТК РФ.</li> </ul>",Полная занятость,Сменный график,От 1 года до 3 лет,Без ключевых навыков,3.0,50000.0,1.0,50000.0,оператор станка с чпу,Опыт работы не менее года на станках с программным управлением. Знание специфики обработки различных металлов. Умение самостоятельно настроить и обслужить...,Обслуживание обрабатывающего центра &quot;OKUMA L 300 - MYW&quot;.,18
Санкт-Петербург,CSI (Кристалл Сервис Интеграция),2019-12-11T13:25:18+0300,"<p>CSI - разработчик решений для сетевого ритэйла. Более 20 лет мы создаем продукты и организуем сервис, которым пользуются миллионы людей каждый день. Это персонал магазинов и покупатели.</p> <p> </p> <p>В команде первой линии поддержки есть вакансия для специалиста с высоким уровнем исполнительности и ответственности. Эта вакансия тех, кто любит много работать, умеет ориентироваться в потоке информации, стрессоустойчив и готов к командной работе. Это отличная работа для тех, кто не боится трудностей и готов учиться новому.</p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Регистрация входящих обращений (почта, CRM);</li> <li>Приём входящих звонков (без холодных звонков и продаж);</li> <li>Распределение заявок по ответственным отделам;</li> <li>Работа с эскалациями от клиентов.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенный пользователь офисного пакета Windows;</li> <li>Грамотная речь, навыки деловой переписки;</li> <li>Клиентоориентированность;</li> <li>Ответственность и исполнительность.</li> </ul> <p><strong>У нас:</strong></p> <ul> <li>График работы сменный;</li> <li>Оформление по ТК РФ;</li> <li>ДМС со стоматологией;</li> <li>Полугодовые премии;</li> <li>Возможности профессионального развития и роста;</li> <li>Работа в комфортном офисе (м. Петроградская, м. Чкаловская).</li> </ul> <p> </p> <p> </p>",Полная занятость,Сменный график,Нет опыта,Без ключевых навыков,,35500.0,,30500.0,оператор serviсe desk,"Уверенный пользователь офисного пакета Windows. Грамотная речь, навыки деловой переписки. Клиентоориентированность. Ответственность и исполнительность.","Регистрация входящих обращений (почта, CRM). Приём входящих звонков (без холодных звонков и продаж). Распределение заявок по ответственным отделам. ",2
