city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Медицинские информационные решения,2019-12-02T12:50:52+0300,"<p>Мы разрабатываем мобильные приложения (и не только) в сфере здравоохранения, наш хедлайнер – приложение &quot;Справочник Врача&quot;, в котором зарегистрировано более 500 тысяч медицинских специалистов.</p> <p>Мы активно растем и ищем Android-разработчика в нашу команду.</p> <p><strong>Обязанности:</strong></p> <ul> <li>разработка и внедрение новых фитч в наши проекты;</li> <li>тестирование, оптимизация и поддержка существующего кода;</li> <li>проектирование архитектуры, выбор стека технологий, оценка времени на реализацию и соблюдение сроков;</li> <li>постоянное взаимодействие с командой.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>опыт разработки под Android (4.1 и выше) <strong>не менее 2-х лет</strong>;</li> <li>уверенные знания Java и Android SDK;</li> <li>знание ООП, паттернов проектирования, DRY, SOLID;</li> <li>понимание принципов клиент-серверной архитектуры HTTP/RESTful APIs;</li> <li>опыт работы с Moxy, Dagger2, Retrofit 2, EventBus, Glide, Gson, Firebase, Git;</li> <li>опыт командной разработки;</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>знание SQL, в частности SQLite;</li> <li>опыт работы с RxJava2, ConstraintLayout;</li> <li>опыт работы в крупных проектах и их длительная поддержка;</li> <li>опыт написания/использования Unit &amp; UI тестов;</li> <li>знание Kotlin;</li> <li>наличие проектов в GooglePlay, репозиторий с кодом на GitHub/Bitbucket.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>оформление по ТК, с отпусками, больничными;</li> <li>«белую» заработную плату, выплачиваемую в срок, два раза в месяц;</li> <li>офис в 7 минутах от метро Алексеевская;</li> <li>молодой и дружный коллектив;</li> <li>рабочее место, оборудованное по вашим пожеланиям;</li> <li>возможность роста и развития внутри компании.</li> </ul> <p> </p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Android|Android SDK|REST|SQLite|ООП|Git,3.0,160000.0,1.0,120000.0,android разработчик,Опыт разработки под Android (4.1 и выше) не менее 2-х лет. Уверенные знания Java и Android SDK. ,"Разработка и внедрение новых фитч в наши проекты. Тестирование, оптимизация и поддержка существующего кода. Проектирование архитектуры, выбор стека технологий, оценка...",19,android
Москва,Смарт Ритейл,2019-12-12T09:45:46+0300,"<p>Компания Intelligence Retail ищет в команду Android Kotlin разработчика — опытного, уверенного и готового решать эффективно, качественно сложные задачи. Участие в крупных проектах в кругу профессионалов по различным направлениям. Большие возможности для профессионального роста. Работа в кругу профессиональной команды, открытость к новым идеям и подходам.</p> <p><strong>Задачи</strong></p> <ul> <li>разработка клиентского приложения с поддержкой библиотеки компьютерного зрения</li> <li>поддержка существующего кода</li> <li>участие в проектировании архитектуры решения</li> <li>участие в тестировании приложения</li> </ul> <p><strong>Требования</strong></p> <ul> <li>отличное знание Kotlin</li> <li>опыт SQL (Sqlite), Realm</li> <li>умение разбираться в чужом коде</li> <li>понимание того, что язык программирования не так важен и можно писать код на любом, требуемом языке</li> <li>владение инструментами: IDE Android Studio, CVS (git), трекер задач (youtrack | jira | redmine)</li> <li>технический английский</li> </ul> <p><strong>Необходимые навыки</strong></p> <ul> <li>готовность и способность к письменной коммуникации</li> <li>работа в команде</li> <li>приветствуется опыт работы с изображениями (opencv, др.)</li> <li>знание C/С++ (будет являться преимуществом)</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>удаленная работа</li> <li>полное соблюдение трудового законодательства РФ</li> <li>полная занятость</li> <li>работа с увлечёнными профессионалами</li> </ul> Компания Intelligence Retail занимается разработкой автоматизированных систем аудита (AI) на основе технологий компьютерного зрения в сегменте крупного розничного бизнеса (Retail).",Полная занятость,Удаленная работа,От 3 до 6 лет,|Java|Android|Android SDK|SQLite|Git|OpenCV,6.0,160000.0,3.0,130000.0,android kotlin разработчик,"Отличное знание Kotlin. Опыт SQL (Sqlite), Realm. Умение разбираться в чужом коде. Понимание того, что язык программирования не так важен...",Разработка клиентского приложения с поддержкой библиотеки компьютерного зрения. Поддержка существующего кода. Участие в проектировании архитектуры решения. Участие в тестировании приложения.,9,android
Санкт-Петербург,Центр финансовых технологий,2019-11-28T08:45:46+0300,"<p><strong>Мы разрабатываем мобильные приложения в области финансов. При помощи них пользователи могут бесплатно пользоваться картами Visa и MasterCard, оплачивать услуги, получать кредиты, совершать денежные переводы и многое другое.</strong></p> <p><strong>Наши крупные продукты: «Денежные переводы - «Золотая Корона», «Обмен валют», «Погашение кредитов», «Транспортная и Социальная Карта», мобильный банк «Кукуруза» и «Карта Билайн».</strong></p> <p> </p> <p><strong>Задачи:</strong></p> <p>- разработка новых продуктов и развитие существующих;</p> <p>- участие в Agile-разработке, Code Review, использование TDD;</p> <p>- использование новых технологий, архитектурных подходов, совершенствование навыков программирования;</p> <p>- обмен опытом с командой.</p> <p> </p> <p><strong>Требования к кандидатам:</strong></p> <p>- опыт программирования Kotlin /Java;</p> <p>- уверенное знания Android SDK;</p> <p>- опыт использования RxJava, Dagger2, Retrofit;</p> <p>- уверенное знания Git, Gradle;</p> <p>- понимание ООП, принципов SOLID, Clean Architecture, знание основных паттернов проектирования.</p> <p> </p> <p><strong>Условия работы:</strong></p> <ul> <li>Официальное трудоустройство, полный социальный пакет</li> <li>Компенсация (оклад + премии). Размер будет обсуждаться индивидуально, зависит от опыта.</li> <li>ДМС</li> <li>Дружный коллектив, открытые и честные взаимоотношения в командах, обмен мнениями и опытом.</li> <li>Современный офис, комфортные рабочие места</li> <li>Обучение за счет компании</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Kotlin|Android SDK|Git|ООП|SOLID|RxJava|Dagger2|Retrofit,3.0,66300.0,1.0,51033.333333333336,android разработчик,"использование новых технологий, архитектурных подходов, совершенствование навыков программирования. - обмен опытом с командой. Требования к кандидатам: - опыт программирования Kotlin /Java. - ","Мы разрабатываем мобильные приложения в области финансов. При помощи них пользователи могут бесплатно пользоваться картами Visa и MasterCard, оплачивать услуги...",23,android
Санкт-Петербург,РЦ ПЛИНОР,2019-12-03T09:48:53+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка приложений, участие в масштабных разработках уровня СНГ</li> <li>Работа в команде разработчиков</li> <li>Выполнение заданий в оговоренные сроки</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт разработки под OS Android от 2-х лет.</li> <li>Знание Android SDK, Java, Kotlin.</li> <li>Знание принципов ООП и шаблонов проектирования.</li> <li>Знание современных подходов к построению архитектуры Android-приложений.</li> <li>Опыт работы с SQL, SQLLite, JSON, XML.</li> <li>Опыт разработки клиент-серверных приложений, REST API.</li> <li>Опыт работы с датчиками, Bluetooth, Wi-Fi.</li> <li>Внимание к деталям и аккуратность исполнения интерфейса.</li> </ul> <strong>Условия:</strong> <ul> <li>Рабочий день 9:00-18:00, пятидневка.</li> <li>Конкурентоспособная заработная плата в зависимости от квалификации (обсуждается персонально с каждым кандидатом) + квартальные, годовые премии. Премии по завершенным проектам.</li> <li>Расширенный соцпакет (после года сотрудничества предоставляется расширенное медобслуживание, включающее стоматологию).</li> <li>Комфортные условия работы.</li> <li>Возможны местные командировки (головной офис компании г. Пушкин)</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Android|Java|SQLite|Atlassian Jira|Android SDK|ООП|API|REST,3.0,80000.0,1.0,50000.0,android разработчик,"Опыт разработки под OS Android от 2-х лет. Знание Android SDK, Java, Kotlin. Знание принципов ООП и шаблонов проектирования. ","Разработка приложений, участие в масштабных разработках уровня СНГ. Работа в команде разработчиков. Выполнение заданий в оговоренные сроки.",18,android
Санкт-Петербург,Северо-Западная Компания,2019-11-28T13:58:19+0300,"<strong>Обязанности:</strong> <ul> <li>Участие в проекте по разработке устройства на базе ОС Android. Разработка специализированного лаунчера в режиме киоска</li> </ul> <p> </p> <strong>Требования:</strong> <ul> <li>1. Знание архитектуры Android 8+ (на системном уровне) и API Level &gt;=26</li> <li>2. Опыт написания приложений, обеспечивающих режим киоска - блокировка шторок, &quot;Drawing over other apps&quot;</li> <li>3. Опыт разработки клиент-серверных приложений</li> <li>Ключевые навыки: Android SDK</li> <li>Java</li> <li>Java SE</li> <li>Eclipse</li> <li>Android</li> </ul> <p> </p> <strong>Условия: Работа в офисе/удаленно. Данный проект - оплата еженедельно, количество недель согласуется с кандидатом при собеседовании. Штатная вакансия - по взаимному согласию.</strong> <p> </p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Java|Android SDK|Android|Eclipse|Java SE,3.0,60000.0,1.0,40000.0,android software разработчик,"1. Знание архитектуры Android 8+ (на системном уровне) и API Level &gt;=26. 2. Опыт написания приложений, обеспечивающих режим киоска...",Участие в проекте по разработке устройства на базе ОС Android. Разработка специализированного лаунчера в режиме киоска.,22,android
Санкт-Петербург,СМТР,2019-11-15T12:17:27+0300,"<p><strong>Сметтер – программа для автоматизации строительного бизнеса.</strong></p> <p>Мы ищем разработчика для проекта smetter.ru, который трансформирует строительную отрасль. Smetter.ru является лидирующей в России и СНГ облачной платформой для автоматизации и управления строительным бизнесом. Наш сервис развивается быстрыми темпами, и мы приглашаем в команду коллег, которые будут разрабатывать инновационные для рынка решения.</p> <p>Нам нужен Android-разработчик, который участвовал в успешных проектах, и который хочет нового челленджа на профессиональной стезе. Если вы ищете компанию, где вы сможете реализовать весь ваш потенциал и получить признание – это к нам. Мы выпускаем инновационный для отрасли сервис, разработка которого потребует от вас нестандартных решений, смелого полета мысли и знаний в смежных областях. Границы вашего профессионального роста будут зависеть только от вас.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>разработка новых функций мобильного приложения Сметтер Android;</p> </li> <li> <p>документирование своих действий (внятные комментарии к коммитам, док-блоки в коде);</p> </li> <li> <p>поддержка, рефакторинг и доработка существующего кода</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Профильное высшее образование</p> </li> <li> <p>опыт коммерческой разработки приложений не менее двух лет;</p> </li> <li> <p>уверенное знание Java и Android SDK;</p> </li> <li> <p>знание языка Kotlin;</p> </li> <li> <p>Фреймворк Dagger2</p> </li> <li> <p>Понимание паттерна MVP</p> </li> <li> <p>Также приветствуются знания Moxy и Conductor</p> </li> <li> <p>умение работать с чужим кодом;</p> </li> <li> <p>опыт размещения приложений в Google Play Market;</p> </li> <li> <p>опыт работы в команде</p> </li> </ul> <p><strong>Почему вам надо идти к нам:</strong></p> <ul> <li>Инновационный проект, который позволит реализовать ваш потенциал</li> <li>Вменяемые руководители, которые быстро принимают решения</li> <li>Работа в топ-команде разработчиков web и mobile</li> <li>Белая з/п с перспективой дальнейшего роста</li> <li>Соцпакет согласно ТК РФ</li> <li>Приятный график</li> <li>Офис на Петроградке, плюшки и возможность заказа еды в офис</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Java|Веб-программирование|Android SDK|Android|Kotlin,3.0,66300.0,1.0,85000.0,разработчик android,Профильное высшее образование. Опыт коммерческой разработки приложений не менее двух лет. Уверенное знание Java и Android SDK. Знание языка Kotlin. ,"Разработка новых функций мобильного приложения Сметтер Android. Документирование своих действий (внятные комментарии к коммитам, док-блоки в коде). ",36,android
Санкт-Петербург,"EPAM Systems, Inc.",2019-12-02T14:44:32+0300,"<p>Мы производим программное обеспечение – от начала и до конца. С 1993 года EPAM помогает<em> </em>клиентам придумывать, разрабатывать, проектировать и внедрять программные продукты, которые меняют мир.<em> </em>Чтобы понимать, в чем рынок будет нуждаться завтра, мы следим за трендами и внедряем их в свою работу, постоянно учимся и накапливаем опыт. Учиться в ЕРАМ легко: внутри компании есть тренинги и курсы, унифицированы требования к разным позициям и уровням и есть возможность получать новые профессии прямо на рабочем месте.</p> <p>Вы увлечены своим делом, любопытны и настойчивы. Вы цените качество кода, Вам нравится создавать элегантные решения для сложных задач. Если это описание похоже на Вас, то мы ждем Вас в нашей команде в качестве Android разработчика!<br /><br /><strong>А если поконкретней?</strong></p> <ul> <li>Мы берем людей в компанию, а не под проект;</li> <li>В основном наши заказчики – зарубежные компании (Штаты и Европа). Здорово, если Вашего уровня английского языка будет достаточно для общения и участия в митингах (Intermediate и выше);</li> <li>- Наши решения улучшают и автоматизируют как повседневную жизнь (b2c), так и работу компаний (b2b);</li> <li>Мы говорим про абсолютно разные направления:</li> </ul> <p>Media (например, разработка сервиса для кабельного и спутникового телеканала);<br />E-commerce (создание мобильных проектов для мировых fashion-брендов);<br />Banking / finance (разработка мобильного банка);<br />Life-science / medicine (разработка приложения для анализа данных МРТ);<br />Transport (разработка приложения для покупки ж/д билетов).<br /><br />И это далеко не полный список!<br /><br /><strong>Чего мы ожидаем от Вас?</strong></p> <ul> <li>Мы следим за качеством своих продуктов. Умение поддерживать высокое качество создаваемых продуктов (unit testing, code review) для нас очень важно;</li> <li>Так же мы используем Agile методологии (Scrum / Kanban). Если Вы работали с ними, это позволит быстрее влиться в наши процессы;</li> <li>Если у Вас есть опыт менеджмента и управления командой, опыт решения нетривиальных задач и общения с заказчиками, то мы можем говорить и про lead позиции;</li> <li>Знание Kotlin, разнообразных библиотек и технологий будет большим плюсом и позволит нам обсуждать более сложные и разнообразные задачи и проекты!</li> </ul> <p> </p> <p><strong>Что еще мы предлагаем?</strong></p> <ul> <li>Хорошо отлаженный процесс разработки (EPAM сертифицирован CMMI 4 уровня);</li> <li>Возможность релокации в другой офис ЕРАМ (25+ стран);</li> <li>Получение международного опыта (большинство заказчиков – зарубежные компании);</li> <li>Возможность для профессионального развития (наши образовательные платформы включают 6000+ курсов и тренингов для развития технических и не только скилов (например, «Школа архитекторов», public speaking и другие);</li> <li>И для самореализации (мы поддерживаем большое количество проф.конференций и развиваем свое community: open days, meetups etc.);</li> <li>Прозрачный рост внутри компании (четкие матрицы компетенций для каждого грейда и регулярный ассесмент);</li> <li>Социальный пакет (ДМС, компенсация фитнеса, спортивные команды, курсы английского и т.д.);</li> <li>Гибкий график работы;</li> <li>И команду коллег - профессионалов (некоторых Вы могли видеть спикерами на конференциях или читать их блоги на профессиональных ресурсах).</li> </ul>",Полная занятость,Гибкий график,От 3 до 6 лет,|Android|Java|Kotlin,6.0,66300.0,3.0,51033.333333333336,senior android разработчик,Без требований,E-commerce (создание мобильных проектов для мировых fashion-брендов). Banking / finance (разработка мобильного банка). Life-science / medicine (разработка приложения для...,18,android
Санкт-Петербург,FBS Inc.,2019-12-12T06:58:20+0300,"<p><strong>FBS – международная продуктовая ФинТех компания.</strong></p> <p>Мы разрабатываем крутые программные и рекламные продукты для международного брокера.</p> <p>Результаты работы нашей команды могут оценить более 13 миллионов клиентов в 193 странах.</p> <p>И сейчас мы ищем талантливого<strong> Android - разработчика</strong> с сильным бэкграундом и тягой к постоянному совершенствованию и развитию.</p> <p><strong>Подробнее о нас:</strong></p> <p> </p> <p>Результаты нашей работы активно используются клиентами и бизнесом. Мы постоянно анализируем поведение пользователей, изучаем фидбэк и совершенствуем наши системы, чтобы сделать их более удобными и эффективными</p> <p>Мы придерживаемся Agile-методологии разработки и серьезно подходим к качеству ПО.</p> <p>За год работы наши приложения были установлены более 1,5 млн раз на 17 языках.</p> <p><strong>Средний рейтинг приложений:</strong></p> <ul> <li> <p>Google Play - 4,3</p> </li> <li> <p>App Store - 4,6</p> </li> </ul> <p><strong>Стек наших технологий:</strong></p> <ul> <li> <p>Kotlin</p> </li> <li> <p>Coroutines</p> </li> <li> <p>MVVM Android Data Binding</p> </li> <li> <p>Android Architecture Components</p> </li> <li> <p>Dagger 2</p> </li> <li> <p>Retrofit</p> </li> </ul> <p>Мы используем технологию Flux/Redux, которую самостоятельно адаптировали для наших Android приложений. В результате слияния Flux/Redux и MVVM мы создали свой аналог MVI подхода.</p> <p><strong>Задачи, которые будут стоять перед вами:</strong></p> <ul> <li> <p>разработка новых продуктов и развитие существующих;</p> </li> <li> <p>декомпозиция задач, оценка времени и планирование спринта;</p> </li> <li> <p>проведение Code Review;</p> </li> <li> <p>использование новых технологий, архитектурных подходов, совершенствование навыков программирования;</p> </li> <li> <p>обмен опытом с командой.</p> </li> </ul> <p><strong>Мы ищем сотрудника, который:</strong></p> <ul> <li> <p>Имеет опыт разработки под Android не менее 2-х лет;</p> </li> <li> <p>Понимает и активно использует преимущества языка Kotlin;</p> </li> <li> <p>Обладает опытом параллельного и многопоточного программирования;</p> </li> <li> <p>Умеет разрабатывать адаптивные пользовательские интерфейсы с учётом различий устройств, разрешений экранов и версий ОС;</p> </li> <li> <p>Понимает принципы работы REST API и клиент-серверных приложений;</p> </li> <li> <p>Работал в коммерческих проектах с использованием системы контроля версий Git и багтрекера JIRA;</p> </li> <li> <p>Знает английский язык на уровне чтения технической документации.</p> </li> <li> <p>Стремится к оптимизации, соблюдает сроки, умеет работать в команде, идти на компромисс;</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт работы с Android Architecture Components;</p> </li> <li> <p>Понимание MVVM архитектуры;</p> </li> <li> <p>Использование Kotlin Coroutines в предыдущих проектах;</p> </li> <li> <p>желание сделать продукт лучше, чем требуется.</p> </li> </ul> <p><strong>Мы готовы предложить:</strong></p> <ul> <li>Работу над новыми проектами с самыми актуальными технологиями и без легаси кода;</li> <li>Работу в международной компании (в нашем офисе говорят на 11 языках);</li> <li>Оформление по ТК РФ с первого дня работы;</li> <li>Компенсацию медицинских расходов, обучающих курсов, занятий спортом;</li> <li>Оплачиваемое обучение, книги, курсы, поездки на конференции;</li> <li>Современный и уютный офис в шаговой доступности от метро с кофемашиной, кикером, массажным креслом и многим другим.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,66300.0,1.0,51033.333333333336,android разработчик,"Google Play - 4,3. App Store - 4,6. Имеет опыт разработки под Android не менее 2-х лет. ","Разработка новых продуктов и развитие существующих. Декомпозиция задач, оценка времени и планирование спринта. Проведение Code Review. Использование новых технологий, архитектурных...",9,android
Санкт-Петербург,БиАйЭй-Технолоджиз,2019-11-19T21:15:38+0300,"<p>В связи с расширением портфеля задач, мы открываем вакансию Senior Android developer.<br />Мы перешли на второй этап развития нашего Cloud-сервис для управления перевозками и эксплуатации различных типов транспорта. В основе нашего решения микро-сервисная архитектура, используем актуальный стек технологий для достижения результата.</p> <p>Мы ищем профессионала, который предан своему делу, пишет высококачественный код и следует современным стандартам и best practices.<br />Основной задачей будет разработка и поддержка масштабируемой платформы, которая будет приносить пользу нашим клиентам.<br />Каждый новый сотрудник становится частью команды, которая отвечает за весь жизненный цикл ПО, от начальной спецификации до проектирования, разработки, тестирования, развёртывания и мониторинга.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Разработка мобильного приложения под Android на Kotlin</li> <li>Разработка новых фич и развитие старых</li> <li>Участие в выстраивании архитектуры приложения</li> </ul> <p><strong>Что мы ждем:</strong></p> <p>Основное требование - умение проектировать, реализовывать модульный работающий код, который легко читать и понимать, можно кастомизировать и повторно использовать.</p> <p><strong>Желательно:</strong></p> <ul> <li>Разработка кода на Kotlin от 1 года</li> <li>Понимание VIPER, Clean Architecture, презентационных паттернов и паттернов проектирования</li> <li>Понимание Conductor</li> <li>Понимание работы с room, sqlite, realm и их отличия</li> <li>Умение писать осмысленные тесты</li> <li>Отличное понимание RxJava или kotlin coroutines</li> <li>Client-server, REST, OAuth2.0, retrofit2</li> <li>Базовые понятия - git, оценка сложности, ревью</li> <li>Открытость новым знаниям</li> <li>Общительность, самостоятельность, умение объяснять</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Бесценный опыт работы над интересными проектами в сильной команде экспертов.</li> <li>Достойный уровень заработной платы, официальное оформление, социальные гарантии.</li> <li>Комфортные условия: гибкий график работы, свободный дресс-код, кофе-поинты на каждом этаже с чаем/какао/кофе, игровая зона для активных перерывов, спортзал в офисе.</li> <li>Развитие и обучение: оплата внешних тренингов, семинаров и конференций.</li> <li>Бизнес центр класса &quot;А&quot; (Московский проспект, м. Фрунзенская), полная инфраструктурная обеспеченность: паркинг, несколько точек общественного питания, кафетерий, вендинговые аппараты.</li> </ul>",Полная занятость,Полный день,Более 6 лет,|Android|Kotlin|RxJava,,66300.0,6.0,51033.333333333336,senior android разработчик,"Разработка кода на Kotlin от 1 года. Понимание VIPER, Clean Architecture, презентационных паттернов и паттернов проектирования. Понимание Conductor. ",Разработка мобильного приложения под Android на Kotlin. Разработка новых фич и развитие старых. Участие в выстраивании архитектуры приложения.,31,android
Санкт-Петербург,JAM.ME,2019-12-11T14:16:14+0300,"Ищем разработчика Android приложений в проект JAM.ME<br />Хотите окунуться в атмосферу стартапа, где вы имеете возможность влиять на принимаемые решения, а разработка не зажата сотнями регламентов?<br />Хотите создавать что-то новое, вместо того, чтобы бесконечно править баги и поддерживать старый код?<br />Добро пожаловать к нам в команду! <p> </p> <p><strong>Требования:</strong><br />- хорошие знания языков Kotlin и Java;<br />- знание последних трендов в разработке Android приложений;<br />- умение писать чистый, понятный с первого раза код, соответствующий Code Style;<br />- опыт работы с REST API.<br /><br /><strong>Условия:</strong><br />- Занятость на проекте - полный день.<br />- Работа на удаленной основе</p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Android|Java|Kotlin,3.0,1500.0,1.0,1200.0,разработчик android приложений,"хорошие знания языков Kotlin и Java. - знание последних трендов в разработке Android приложений. - умение писать чистый, понятный с первого раза...",Без обязанностей,9,android
Санкт-Петербург,ВКонтакте,2019-12-11T17:45:47+0300,"<p>ВКонтакте — не только крупнейшая социальная сеть России и стран СНГ, но и огромная платформа для предпринимательства. Команда рекламы и бизнес-проектов расширяется и открывает позицию Android-разработчика, который будет создавать решения для малого и среднего бизнеса.</p> <p><strong>Вам предстоит:</strong></p> <ul> <li>работать над улучшениями Android-приложения ВКонтакте;</li> <li>тестировать, оптимизировать и поддерживать продукт;</li> <li>взаимодействовать с командой API и дизайнерами.</li> </ul> <p><strong>Нам важно, чтобы кандидат:</strong></p> <ul> <li>обладал опытом создания приложений для Android 4.4+ от двух лет;</li> <li>отлично разбирался в Java и Android SDK;</li> <li>ранее принимал участие в разработке сложных, но быстрых интерфейсов (Custom Views и Layouts, а также анимации);</li> <li>имел портфолио с выполненными проектами.</li> </ul> <p><strong>Опыт работы с Kotlin и RxJava 2 будет плюсом.</strong></p> <p><strong>Мы ценим:</strong></p> <ul> <li>способность быстро и качественно решать задачи;</li> <li>ориентированность на результат;</li> <li>самостоятельность, ответственность, инициативность и внимание к деталям в коде и интерфейсах;</li> <li>гибкий и системный подход в работе над сложными проектами.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>возможность влиять на продукт, которым ежемесячно пользуются больше 97 миллионов человек;</li> <li>простор для профессионального роста;</li> <li>совместную работу с лучшими специалистами на рынке;</li> <li>офис в историческом центре Санкт-Петербурга;</li> <li>гибкий график и минимум бюрократии;</li> <li>вознаграждение, зависящее только от Ваших знаний и трудоспособности;</li> <li>полный социальный пакет</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,66300.0,1.0,51033.333333333336,android разработчик,Обладал опытом создания приложений для Android 4.4+ от двух лет. Отлично разбирался в Java и Android SDK. ,"Работать над улучшениями Android-приложения ВКонтакте. Тестировать, оптимизировать и поддерживать продукт. Взаимодействовать с командой API и дизайнерами.",9,android
Санкт-Петербург,KUPIBILET.RU,2019-11-20T10:40:12+0300,"<p> </p> <p><strong>IT-компания &quot;Купибилет&quot; (KUPIBILET.RU) – топовое онлайн тревел-агентство.</strong></p> <p><strong>Мы молоды, амбициозны, быстро растем, и у нас расширяется портфель проектов!</strong></p> <p><strong>Хотим пополнить наш коллектив профессионалов талантливыми Android разработчиками, которые будут развиваться вместе с компанией, делая её лучше!</strong></p> <p><strong>Задачи:</strong></p> <ul> <li>Поддержка и разработка продуктовых фич в мобильном приложении лидера продаж авиабилетов на российском рынке</li> <li>Поддержка и модернизация архитектуры Android-приложения</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт разработки под OS Android от 2-х лет</li> <li>Наличие опубликованных проектов в Google Play</li> <li>Знание Android SDK(&gt;=16), Java, Kotlin и Gradle</li> <li>Знание принципов ООП и шаблонов проектирования</li> <li>Знание современных подходов к построению архитектуры Android-приложений</li> <li>Опыт многопоточной разработки</li> <li>Опыт разработки клиент-серверных приложений</li> <li>Владение английским языком на уровне, достаточном для чтения технической документации</li> <li>Внимание к деталям и аккуратность исполнения интерфейса</li> <li>Коммуникабельность, умение задавать вопросы и принимать участие в обсуждении новых фич</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Находимся в Санкт-Петербурге, в 10 минутах от метро</li> <li>Светлый и просторный офис бизнес-центре А класса с видом на Неву</li> <li>Полностью «белая» заработная плата</li> <li>Корпоративный полис ДМС</li> <li>Топовое железо для рабочего места</li> <li>Рабочие столы с подъемными механизмами</li> <li>Отличная команда профессионалов, готовая всегда прийти на помощь</li> <li>Куча вкусностей. Например, зерновой кофе, фрукты, печеньки, сладости, холодильник с колой и т.д. (нас тут реально кормят)</li> <li>Оптимистичная атмосфера, совместные посиделки, развлекухи, и «пятничная» пицца</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Android|Android SDK|Java|Kotlin|Gradle,6.0,66300.0,3.0,51033.333333333336,android разработчик,"Опыт разработки под OS Android от 2-х лет. Наличие опубликованных проектов в Google Play. Знание Android SDK(&gt;=16), Java...",Поддержка и разработка продуктовых фич в мобильном приложении лидера продаж авиабилетов на российском рынке. Поддержка и модернизация архитектуры Android-приложения.,31,android
